"",BBK01.CEHC01,BBK01.CEHC01_FLAGS
"",Financial derivatives  debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:21,
1991-01,0.0,
1991-04,-0.3,
1991-07,0.1,
1991-10,0.0,
1992-01,0.0,
1992-04,0.1,
1992-07,-0.1,
1992-10,0.2,
1993-01,-0.1,
1993-04,0.1,
1993-07,0.5,
1993-10,-0.1,
1994-01,-0.2,
1994-04,-0.7,
1994-07,0.1,
1994-10,0.4,
1995-01,0.0,
1995-04,-0.2,
1995-07,0.1,
1995-10,0.4,
1996-01,0.1,
1996-04,-0.2,
1996-07,0.3,
1996-10,2.1,
1997-01,1.2,
1997-04,0.4,
1997-07,1.9,
1997-10,0.3,
1998-01,2.4,
1998-04,-0.7,
1998-07,-3.6,
1998-10,5.1,
1999-01,1.1,
1999-04,-0.5,
1999-07,-2.7,
1999-10,3.0,
2000-01,2.8,
2000-04,-5.3,
2000-07,4.7,
2000-10,4.0,
2001-01,-3.0,
2001-04,-3.2,
2001-07,1.9,
2001-10,0.4,
2002-01,1.2,
2002-04,-0.7,
2002-07,-2.7,
2002-10,-4.4,
2003-01,5.9,
2003-04,2.1,
2003-07,-0.9,
2003-10,0.5,
2004-01,0.4,
2004-04,1.4,
2004-07,-1.0,
2004-10,4.8,
2005-01,3.3,
2005-04,0.5,
2005-07,-2.2,
2005-10,2.2,
2006-01,1.7,
2006-04,-1.9,
2006-07,1.4,
2006-10,0.2,
2007-01,5.6,
2007-04,6.7,
2007-07,16.3,
2007-10,16.8,
2008-01,10.2,
2008-04,8.9,
2008-07,0.7,
2008-10,-3.1,
2009-01,-9.3,
2009-04,-0.1,
2009-07,3.5,
2009-10,0.4,
2010-01,2.2,
2010-04,3.3,
2010-07,4.0,
2010-10,18.3,
2011-01,5.0,
2011-04,2.1,
2011-07,3.9,
2011-10,3.8,
2012-01,-0.2,
2012-04,3.9,
2012-07,2.2,
2012-10,3.4,
2013-01,1.3,
2013-04,2.9,
2013-07,0.7,
2013-10,1.9,
2014-01,2.7,
