"",BBK01.OEAD25M,BBK01.OEAD25M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:16,
2002-01,0.092,
2002-04,0.092,
2002-07,0.087,
2002-10,0.128,
2003-01,0.126,
2003-04,0.131,
2003-07,0.129,
2003-10,0.126,
2004-01,0.128,
2004-04,0.126,
2004-07,0.125,
2004-10,0.089,
2005-01,0.087,
2005-04,0.087,
2005-07,0.089,
2005-10,0.091,
2006-01,0.091,
2006-04,0.101,
2006-07,0.109,
2006-10,0.150,
2007-01,0.122,
2007-04,0.136,
2007-07,0.143,
2007-10,0.144,
2008-01,0.138,
2008-04,0.198,
2008-07,0.202,
2008-10,0.205,
2009-01,0.206,
2009-04,0.236,
2009-07,0.236,
2009-10,0.231,
2010-01,0.281,
2010-04,0.206,
2010-07,0.195,
2010-10,0.261,
2011-01,0.252,
2011-04,0.189,
2011-07,0.180,
2011-10,0.200,
2012-01,0.196,
2012-04,0.207,
2012-07,0.205,
2012-10,0.206,
2013-01,0.210,
2013-04,0.220,
2013-07,0.212,
2013-10,0.216,
2014-01,0.237,
2014-04,0.217,
2014-07,0.210,
