"",BBK01.OEHM02P,BBK01.OEHM02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:32,
2002-01,0.051,
2002-04,0.066,
2002-07,0.091,
2002-10,0.075,
2003-01,0.052,
2003-04,0.094,
2003-07,0.081,
2003-10,0.099,
2004-01,0.103,
2004-04,0.063,
2004-07,0.071,
2004-10,0.091,
2005-01,0.061,
2005-04,0.112,
2005-07,0.136,
2005-10,0.172,
2006-01,0.071,
2006-04,0.063,
2006-07,0.108,
2006-10,0.092,
2007-01,0.097,
2007-04,0.106,
2007-07,0.093,
2007-10,0.135,
2008-01,0.088,
2008-04,0.090,
2008-07,0.082,
2008-10,0.138,
2009-01,0.089,
2009-04,0.074,
2009-07,0.087,
2009-10,0.246,
2010-01,0.117,
2010-04,0.144,
2010-07,0.070,
2010-10,0.280,
2011-01,0.129,
2011-04,0.076,
2011-07,0.141,
2011-10,0.241,
2012-01,0.107,
2012-04,0.161,
2012-07,0.222,
2012-10,0.210,
2013-01,0.294,
2013-04,0.329,
2013-07,0.305,
2013-10,0.191,
2014-01,0.150,
2014-04,0.309,
2014-07,0.243,
