"",BBK01.OEAE09J,BBK01.OEAE09J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:36,
2002-01,0.659,
2002-04,0.667,
2002-07,0.680,
2002-10,0.772,
2003-01,0.766,
2003-04,0.651,
2003-07,0.605,
2003-10,0.608,
2004-01,0.621,
2004-04,0.637,
2004-07,0.627,
2004-10,0.642,
2005-01,0.628,
2005-04,0.597,
2005-07,0.517,
2005-10,0.486,
2006-01,0.463,
2006-04,0.463,
2006-07,0.453,
2006-10,0.456,
2007-01,0.433,
2007-04,0.464,
2007-07,0.432,
2007-10,0.432,
2008-01,0.436,
2008-04,0.438,
2008-07,0.448,
2008-10,0.414,
2009-01,0.352,
2009-04,0.350,
2009-07,0.320,
2009-10,0.277,
2010-01,3.443,
2010-04,0.332,
2010-07,0.363,
2010-10,0.403,
2011-01,0.407,
2011-04,0.411,
2011-07,0.418,
2011-10,0.421,
2012-01,0.410,
2012-04,0.478,
2012-07,0.459,
2012-10,0.474,
2013-01,0.435,
2013-04,0.448,
2013-07,0.409,
2013-10,0.419,
2014-01,0.399,
2014-04,0.394,
2014-07,0.418,
