"",BBK01.OEAA30H,BBK01.OEAA30H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:54,
2002-01,6.225,
2002-04,6.302,
2002-07,6.224,
2002-10,6.037,
2003-01,5.899,
2003-04,5.975,
2003-07,5.827,
2003-10,5.774,
2004-01,5.637,
2004-04,6.000,
2004-07,6.404,
2004-10,6.375,
2005-01,6.258,
2005-04,6.261,
2005-07,6.249,
2005-10,6.237,
2006-01,6.032,
2006-04,5.446,
2006-07,5.397,
2006-10,5.404,
2007-01,5.349,
2007-04,5.371,
2007-07,5.277,
2007-10,5.287,
2008-01,5.100,
2008-04,4.993,
2008-07,4.930,
2008-10,4.895,
2009-01,4.821,
2009-04,4.736,
2009-07,4.915,
2009-10,4.982,
2010-01,5.086,
2010-04,5.220,
2010-07,5.194,
2010-10,5.204,
2011-01,5.148,
2011-04,5.229,
2011-07,7.633,
2011-10,7.701,
2012-01,7.706,
2012-04,7.876,
2012-07,7.886,
2012-10,8.022,
2013-01,8.005,
2013-04,7.963,
2013-07,8.041,
2013-10,8.006,
2014-01,7.934,
2014-04,7.929,
2014-07,7.946,
