"",BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.P.F._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Purchases / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:31,
1991-01,9342.672,
1991-02,13553.975,
1991-03,14901.102,
1991-04,14105.476,
1991-05,15318.158,
1991-06,13386.082,
1991-07,13890.299,
1991-08,14132.547,
1991-09,12891.199,
1991-10,16597.754,
1991-11,15329.981,
1991-12,15403.533,
1992-01,23128.873,
1992-02,27224.692,
1992-03,23067.930,
1992-04,19233.329,
1992-05,16349.186,
1992-06,22735.187,
1992-07,20992.803,
1992-08,15964.677,
1992-09,20081.230,
1992-10,28008.435,
1992-11,26561.799,
1992-12,26981.381,
1993-01,28190.547,
1993-02,36839.512,
1993-03,40459.922,
1993-04,32585.619,
1993-05,26022.611,
1993-06,26735.800,
1993-07,33550.932,
1993-08,32400.710,
1993-09,28662.198,
1993-10,34771.649,
1993-11,33372.000,
1993-12,29174.972,
1994-01,41051.069,
1994-02,37175.252,
1994-03,34944.379,
1994-04,23964.682,
1994-05,22139.538,
1994-06,23885.859,
1994-07,22527.126,
1994-08,23471.975,
1994-09,23375.827,
1994-10,24074.955,
1994-11,23767.509,
1994-12,31168.892,
1995-01,27010.553,
1995-02,27065.040,
1995-03,29404.180,
1995-04,26295.053,
1995-05,32702.804,
1995-06,31381.921,
1995-07,32527.520,
1995-08,34058.805,
1995-09,36536.107,
1995-10,30236.888,
1995-11,41623.279,
1995-12,38693.786,
1996-01,47306.358,
1996-02,49959.773,
1996-03,44048.115,
1996-04,44165.994,
1996-05,44954.947,
1996-06,33903.961,
1996-07,50460.976,
1996-08,36295.366,
1996-09,37625.608,
1996-10,51794.773,
1996-11,40348.945,
1996-12,46288.618,
1997-01,64225.995,
1997-02,59078.558,
1997-03,58431.514,
1997-04,64378.080,
1997-05,61032.552,
1997-06,72392.145,
1997-07,86803.743,
1997-08,70184.967,
1997-09,68425.504,
1997-10,78084.709,
1997-11,63636.651,
1997-12,64506.309,
1998-01,78933.883,
1998-02,100631.519,
1998-03,109624.249,
1998-04,98990.912,
1998-05,106092.776,
1998-06,128559.193,
1998-07,104957.266,
1998-08,103928.173,
1998-09,105650.955,
1998-10,111461.442,
1998-11,104146.202,
1998-12,112937.578,
1999-01,125336.420,
1999-02,112205.157,
1999-03,144631.080,
1999-04,128654.681,
1999-05,140784.239,
1999-06,147172.964,
1999-07,146378.341,
1999-08,114848.398,
1999-09,128653.678,
1999-10,116311.267,
1999-11,158711.693,
1999-12,161618.175,
2000-01,167191.286,
2000-02,332986.061,
2000-03,222937.549,
2000-04,156045.396,
2000-05,189716.568,
2000-06,173387.313,
2000-07,158044.593,
2000-08,177250.937,
2000-09,195466.749,
2000-10,184161.494,
2000-11,198378.691,
2000-12,188341.604,
2001-01,259214.791,
2001-02,225669.267,
2001-03,253722.313,
2001-04,216758.762,
2001-05,250295.699,
2001-06,231360.152,
2001-07,202860.138,
2001-08,189104.223,
2001-09,187160.573,
2001-10,227166.330,
2001-11,259418.317,
2001-12,188085.815,
2002-01,240198.541,
2002-02,204419.456,
2002-03,224138.743,
2002-04,205257.650,
2002-05,194529.547,
2002-06,179416.502,
2002-07,231951.376,
2002-08,187203.901,
2002-09,208097.513,
2002-10,242095.889,
2002-11,201950.696,
2002-12,180575.464,
2003-01,228574.509,
2003-02,191718.118,
2003-03,237687.200,
2003-04,207733.480,
2003-05,230561.946,
2003-06,235916.651,
2003-07,264916.408,
2003-08,205337.339,
2003-09,233973.200,
2003-10,232383.523,
2003-11,183963.567,
2003-12,180040.303,
2004-01,239882.858,
2004-02,226511.232,
2004-03,286310.820,
2004-04,262151.481,
2004-05,240875.409,
2004-06,226757.220,
2004-07,212408.282,
2004-08,207779.409,
2004-09,234223.295,
2004-10,240862.763,
2004-11,254796.968,
2004-12,249379.291,
2005-01,266871.043,
2005-02,269502.929,
2005-03,272679.813,
2005-04,249343.762,
2005-05,249550.245,
2005-06,307322.642,
2005-07,217852.714,
2005-08,215301.019,
2005-09,262468.137,
2005-10,260870.129,
2005-11,292062.456,
2005-12,273052.330,
2006-01,285150.382,
2006-02,271874.529,
2006-03,309411.931,
2006-04,231803.624,
2006-05,280942.543,
2006-06,283519.574,
2006-07,219471.890,
2006-08,224643.138,
2006-09,268814.347,
2006-10,263524.810,
2006-11,280685.639,
2006-12,251739.412,
2007-01,287378.989,
2007-02,282512.987,
2007-03,357666.529,
2007-04,275430.822,
2007-05,308090.545,
2007-06,336562.187,
2007-07,274015.839,
2007-08,270496.058,
2007-09,267146.325,
2007-10,286905.051,
2007-11,273020.015,
2007-12,252968.422,
2008-01,305240.830,
2008-02,274970.383,
2008-03,280432.775,
2008-04,242790.828,
2008-05,273603.032,
2008-06,258861.708,
2008-07,230259.068,
2008-08,179372.863,
2008-09,243065.072,
2008-10,234318.814,
2008-11,170281.430,
2008-12,188900.741,
2009-01,178202.404,
2009-02,190034.317,
2009-03,198743.405,
2009-04,188702.083,
2009-05,215373.361,
2009-06,195302.457,
2009-07,229929.461,
2009-08,178601.424,
2009-09,221168.714,
2009-10,216047.180,
2009-11,202724.395,
2009-12,201391.927,
2010-01,229789.242,
2010-02,226421.592,
2010-03,275633.328,
2010-04,256088.092,
2010-05,280597.357,
2010-06,245762.534,
2010-07,202316.959,
2010-08,195389.955,
2010-09,261646.967,
