"",BBK01.CEH50C,BBK01.CEH50C_FLAGS
"",Shares and other equity debtor: All sectors                    creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:56,
1991-01,0.5,
1991-04,0.6,
1991-07,0.8,
1991-10,1.1,
1992-01,0.7,
1992-04,0.8,
1992-07,0.9,
1992-10,1.1,
1993-01,1.1,
1993-04,1.0,
1993-07,1.2,
1993-10,1.5,
1994-01,0.4,
1994-04,0.3,
1994-07,0.3,
1994-10,-0.2,
1995-01,0.9,
1995-04,0.4,
1995-07,-2.1,
1995-10,-2.8,
1996-01,0.0,
1996-04,0.4,
1996-07,1.1,
1996-10,-0.7,
1997-01,0.2,
1997-04,0.9,
1997-07,-1.9,
1997-10,-4.4,
1998-01,-1.0,
1998-04,3.5,
1998-07,2.0,
1998-10,-13.3,
1999-01,-2.4,
1999-04,6.8,
1999-07,-0.4,
1999-10,-11.5,
2000-01,-3.4,
2000-04,-2.5,
2000-07,-1.6,
2000-10,1.9,
2001-01,-0.9,
2001-04,-1.0,
2001-07,-3.6,
2001-10,-2.7,
2002-01,-1.3,
2002-04,0.9,
2002-07,-4.8,
2002-10,-3.2,
2003-01,1.9,
2003-04,7.7,
2003-07,1.5,
2003-10,-11.0,
2004-01,-1.2,
2004-04,-0.5,
2004-07,-2.2,
2004-10,-4.2,
2005-01,4.0,
2005-04,1.6,
2005-07,-2.1,
2005-10,-1.4,
2006-01,-1.2,
2006-04,-2.0,
2006-07,-1.8,
2006-10,0.7,
2007-01,0.7,
2007-04,0.8,
2007-07,2.4,
2007-10,-4.6,
2008-01,1.1,
2008-04,1.7,
2008-07,2.6,
2008-10,7.9,
2009-01,8.7,
2009-04,14.9,
2009-07,3.6,
2009-10,5.5,
2010-01,2.9,
2010-04,3.5,
2010-07,0.9,
2010-10,0.6,
2011-01,5.7,
2011-04,-9.6,
2011-07,1.8,
2011-10,-0.1,
2012-01,2.2,
2012-04,1.8,
2012-07,1.4,
2012-10,12.6,
2013-01,1.7,
2013-04,5.1,
2013-07,3.1,
2013-10,5.4,
2014-01,0.0,
