"",BBK01.OEAC49V,BBK01.OEAC49V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:55,
2002-01,1.228,
2002-04,1.218,
2002-07,1.188,
2002-10,1.158,
2003-01,1.085,
2003-04,1.074,
2003-07,1.047,
2003-10,0.994,
2004-01,0.966,
2004-04,0.933,
2004-07,0.912,
2004-10,0.884,
2005-01,0.877,
2005-04,0.862,
2005-07,0.831,
2005-10,0.848,
2006-01,0.845,
2006-04,0.847,
2006-07,0.821,
2006-10,0.812,
2007-01,0.809,
2007-04,0.797,
2007-07,0.793,
2007-10,0.782,
2008-01,0.764,
2008-04,0.785,
2008-07,0.779,
2008-10,0.752,
2009-01,0.778,
2009-04,0.790,
2009-07,0.785,
2009-10,0.712,
2010-01,0.782,
2010-04,0.798,
2010-07,0.787,
2010-10,0.791,
2011-01,0.790,
2011-04,0.789,
2011-07,0.784,
2011-10,0.784,
2012-01,0.794,
2012-04,0.800,
2012-07,0.787,
2012-10,0.785,
2013-01,0.789,
2013-04,0.787,
2013-07,0.801,
2013-10,0.799,
2014-01,0.801,
2014-04,0.819,
2014-07,0.816,
