"",BBK01.OEBB11K,BBK01.OEBB11K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:11,
2002-01,1.444,
2002-04,1.467,
2002-07,1.546,
2002-10,1.349,
2003-01,1.470,
2003-04,1.598,
2003-07,1.967,
2003-10,2.056,
2004-01,2.985,
2004-04,2.569,
2004-07,2.906,
2004-10,2.942,
2005-01,2.359,
2005-04,2.406,
2005-07,2.344,
2005-10,2.363,
2006-01,2.454,
2006-04,2.236,
2006-07,1.977,
2006-10,2.114,
2007-01,2.048,
2007-04,2.151,
2007-07,2.333,
2007-10,2.431,
2008-01,2.585,
2008-04,2.815,
2008-07,2.958,
2008-10,2.730,
2009-01,2.616,
2009-04,3.109,
2009-07,2.907,
2009-10,3.147,
2010-01,3.029,
2010-04,3.190,
2010-07,3.149,
2010-10,2.655,
2011-01,2.666,
2011-04,2.661,
2011-07,3.205,
2011-10,2.912,
2012-01,2.608,
2012-04,2.731,
2012-07,2.545,
2012-10,2.384,
2013-01,2.704,
2013-04,2.839,
2013-07,2.219,
2013-10,2.302,
2014-01,2.187,
2014-04,2.536,
2014-07,2.605,
