"",BBK01.OEHB07K,BBK01.OEHB07K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:38,
2002-01,1.726,
2002-04,1.581,
2002-07,1.514,
2002-10,1.438,
2003-01,1.313,
2003-04,1.302,
2003-07,1.231,
2003-10,1.188,
2004-01,1.137,
2004-04,1.177,
2004-07,1.142,
2004-10,1.204,
2005-01,1.171,
2005-04,1.105,
2005-07,1.112,
2005-10,1.103,
2006-01,1.056,
2006-04,1.057,
2006-07,1.026,
2006-10,1.029,
2007-01,0.899,
2007-04,0.936,
2007-07,0.998,
2007-10,1.046,
2008-01,1.078,
2008-04,1.120,
2008-07,1.187,
2008-10,1.206,
2009-01,1.264,
2009-04,1.359,
2009-07,1.539,
2009-10,1.602,
2010-01,1.735,
2010-04,1.723,
2010-07,1.797,
2010-10,1.841,
2011-01,1.910,
2011-04,1.934,
2011-07,2.023,
2011-10,2.046,
2012-01,2.002,
2012-04,2.030,
2012-07,2.169,
2012-10,2.139,
2013-01,2.142,
2013-04,2.140,
2013-07,2.423,
2013-10,2.411,
2014-01,2.366,
2014-04,2.269,
2014-07,2.231,
