"",BBK01.OEYB16Q,BBK01.OEYB16Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:11,
2002-01,5.899,
2002-04,5.830,
2002-07,5.286,
2002-10,5.310,
2003-01,5.242,
2003-04,7.519,
2003-07,7.377,
2003-10,7.363,
2004-01,7.227,
2004-04,4.866,
2004-07,4.730,
2004-10,4.748,
2005-01,4.497,
2005-04,4.452,
2005-07,4.385,
2005-10,4.251,
2006-01,4.162,
2006-04,4.499,
2006-07,3.988,
2006-10,3.874,
2007-01,4.136,
2007-04,2.983,
2007-07,1.375,
2007-10,1.339,
2008-01,1.269,
2008-04,1.234,
2008-07,1.226,
2008-10,1.203,
2009-01,1.172,
2009-04,1.156,
2009-07,1.121,
2009-10,1.210,
2010-01,1.175,
2010-04,1.129,
2010-07,1.009,
2010-10,0.961,
2011-01,0.919,
2011-04,0.880,
2011-07,0.711,
2011-10,0.834,
2012-01,0.807,
2012-04,0.808,
2012-07,0.773,
2012-10,0.783,
2013-01,0.737,
2013-04,0.717,
2013-07,0.696,
2013-10,0.693,
2014-01,0.674,
2014-04,0.665,
2014-07,0.659,
