"",BBK01.OELO04M,BBK01.OELO04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:10,
2002-01,-0.119,
2002-04,-0.200,
2002-07,-0.068,
2002-10,0.049,
2003-01,0.100,
2003-04,-0.240,
2003-07,-0.097,
2003-10,-0.102,
2004-01,-0.008,
2004-04,-0.054,
2004-07,-0.106,
2004-10,0.032,
2005-01,-0.167,
2005-04,-0.143,
2005-07,-0.154,
2005-10,-0.080,
2006-01,-0.071,
2006-04,-0.161,
2006-07,-0.242,
2006-10,-0.312,
2007-01,-0.491,
2007-04,-0.386,
2007-07,-0.398,
2007-10,-0.281,
2008-01,-0.377,
2008-04,-0.440,
2008-07,-0.436,
2008-10,-0.051,
2009-01,0.202,
2009-04,0.161,
2009-07,0.192,
2009-10,0.455,
2010-01,0.405,
2010-04,0.093,
2010-07,-0.042,
2010-10,-0.004,
2011-01,0.075,
2011-04,0.003,
2011-07,-0.088,
2011-10,-0.055,
2012-01,-0.069,
2012-04,-0.077,
2012-07,-0.190,
2012-10,-0.004,
2013-01,0.014,
2013-04,-0.029,
2013-07,-0.023,
2013-10,0.044,
2014-01,0.039,
2014-04,-0.022,
2014-07,-0.013,
