"",BBEX3.M.CRC.EUR.CA.AA.A01,BBEX3.M.CRC.EUR.CA.AA.A01_FLAGS
"",Exchange rates (comparable rates) for the euro in Costa Rica * / EUR 1 = CRC ... (buying),
unit,CRC (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:49,
1999-01,311.2841,
1999-02,303.9315,
1999-03,299.1969,
1999-04,297.8181,
1999-05,296.4381,
1999-06,295.4944,
1999-07,308.3722,
1999-08,306.9025,
1999-09,311.5886,
1999-10,307.2973,
1999-11,298.8308,
1999-12,300.4807,comment
2000-01,292.7999,
2000-02,295.4204,comment
2000-03,289.5419,
2000-04,276.5292,
2000-05,284.7462,
2000-06,294.2006,
2000-07,286.0246,
2000-08,277.0746,
2000-09,274.1078,
2000-10,264.6894,
2000-11,274.6576,
2000-12,295.6571,
2001-01,296.8649,
2001-02,296.8608,
2001-03,285.1146,
2001-04,287.6712,
2001-05,276.4395,
2001-06,277.9235,
2001-07,288.6699,
2001-08,303.8624,
2001-09,304.8750,
2001-10,304.1548,
2001-11,301.7757,
2001-12,300.8758,
2002-01,297.2337,
2002-02,300.1984,
2002-03,305.1742,
2002-04,317.8203,
2002-05,334.2617,
2002-06,358.1025,
2002-07,354.4577,
2002-08,359.2978,
2002-09,363.4100,
2002-10,366.8915,
2002-11,372.4610,
2002-12,396.5554,
2003-01,412.8684,
2003-02,414.9884,
2003-03,422.9657,
2003-04,435.3334,
2003-05,466.4015,
2003-06,454.6918,
2003-07,454.3272,
2003-08,441.8551,
2003-09,475.1336,
2003-10,478.2221,
2003-11,497.3912,
2003-12,527.9845,
2004-01,521.0320,
2004-02,526.4487,
2004-03,522.1482,
2004-04,514.1511,
2004-05,528.6979,
2004-06,530.6995,
2004-07,529.7762,
2004-08,537.0139,
2004-09,554.6575,
2004-10,573.7891,
2004-11,603.9520,
2004-12,623.2697,
2005-01,600.9917,
2005-02,615.4562,
2005-03,606.0151,
2005-04,609.3936,
2005-05,584.1441,
2005-06,576.6796,
2005-07,580.1617,
2005-08,588.8706,
2005-09,585.7229,
2005-10,588.1171,
2005-11,579.4114,
2005-12,584.7183,
2006-01,604.4095,
2006-02,595.3888,
2006-03,611.0583,
2006-04,634.7859,
2006-05,654.7238,
2006-06,650.8166,
2006-07,657.4494,
2006-08,664.6666,
2006-09,657.9022,
2006-10,653.8948,
2006-11,679.2984,
2006-12,679.1769,
2007-01,669.8513,
2007-02,683.0219,
2007-03,688.4474,
2007-04,703.1064,
2007-05,695.0492,
2007-06,697.5468,
2007-07,708.0077,
2007-08,707.7810,
2007-09,732.1185,
2007-10,746.4909,
2007-11,732.3965,
2007-12,729.0281,
2008-01,734.4739,
2008-02,748.0516,
2008-03,777.3812,
2008-04,763.5424,
2008-05,800.8641,
2008-06,813.9584,
2008-07,853.1255,
2008-08,806.5792,
2008-09,786.0786,
2008-10,702.6811,
2008-11,688.5180,
2008-12,765.5463,
2009-01,711.4931,
2009-02,708.3675,
2009-03,743.1453,
2009-04,754.4050,
2009-05,806.3069,
2009-06,806.5002,
2009-07,822.1954,
2009-08,833.8701,
2009-09,852.9401,
2009-10,853.7676,
2009-11,825.1233,
2009-12,804.8200,
2010-01,775.1130,
2010-02,744.3688,
2010-03,698.8996,
2010-04,673.6059,
2010-05,658.5968,
2010-06,650.2526,
2010-07,666.5646,
2010-08,639.2242,
2010-09,685.8802,
2010-10,704.6562,
2010-11,654.0334,
2010-12,678.5892,
2011-01,685.7638,
2011-02,687.9372,
2011-03,704.1842,
2011-04,736.4616,
2011-05,719.2212,
2011-06,720.6410,
2011-07,712.6007,
2011-08,731.0400,
2011-09,686.4385,
2011-10,713.7430,
2011-11,672.2418,
2011-12,653.8724,
2012-01,663.6488,
2012-02,679.7587,
2012-03,671.2458,
2012-04,658.7708,
2012-05,615.3997,
2012-06,620.1456,
2012-07,608.1931,
2012-08,621.2809,
2012-09,636.6991,
2012-10,639.8533,
2012-11,639.9631,
2012-12,662.4312,
2013-01,672.5136,
2013-02,650.8439,
2013-03,630.9280,
2013-04,644.9202,
2013-05,641.4819,
2013-06,644.8832,
2013-07,654.4442,
2013-08,657.9648,
2013-09,666.4853,
2013-10,673.3743,
2013-11,670.9270,
2013-12,682.6683,
2014-01,683.0851,
2014-02,743.9406,
2014-03,742.2632,
2014-04,748.8280,
2014-05,743.4184,
2014-06,734.2268,
2014-07,713.1007,
2014-08,704.6085,
2014-09,671.9574,
2014-10,667.6795,
2014-11,661.0997,
2014-12,647.4917,
2015-01,600.1259,
"","Source: Since March 2003: Banco Central de Costa Rica, San José.  1999 - February 2003: Dresdner Bank Lateinamerika AG, Hamburg. (for US dollar rates in each case)",
"",Methodology: * We do not have any data from Costa Rica on euro exchange rates; the comparable rates were calculated on the basis of exchange rates for the US dollar in Costa Rica in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.,
"",Comment on 1999-12: Calculated using the US dollar exchange rate on 28 December 1999.,
"",Comment on 2000-02: Calculated using the US dollar exchange rate on 25 February 2000.,
