"",BBFB1.Q.N.DE.PL.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.PL.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:23,
1991-01,-,Nothing exists
1991-04,0.607,
1991-07,-0.110,
1991-10,0.042,
1992-01,0.027,
1992-04,0.056,
1992-07,-0.253,
1992-10,-0.131,
1993-01,0.054,
1993-04,0.002,
1993-07,-0.287,
1993-10,0.316,
1994-01,-0.063,
1994-04,5.595,
1994-07,15.563,
1994-10,606.929,
1995-01,6.343,
1995-04,-24.638,
1995-07,-46.976,
1995-10,-6.179,
1996-01,-13.623,
1996-04,-27.398,
1996-07,-66.711,
1996-10,3.531,
1997-01,-24.053,
1997-04,128.023,
1997-07,-194.290,
1997-10,-38.573,
1998-01,66.169,
1998-04,161.169,
1998-07,252.291,
1998-10,-28.123,
1999-01,48.185,
1999-04,38.372,
1999-07,34.635,
1999-10,357.497,
2000-01,363.842,
2000-04,83.124,
2000-07,68.286,
2000-10,-183.277,
2001-01,-189.386,
2001-04,-89.975,
2001-07,1.478,
2001-10,-142.478,
2002-01,337.276,
2002-04,186.955,
2002-07,215.516,
2002-10,164.708,
2003-01,458.709,
2003-04,44.708,
2003-07,57.753,
2003-10,437.390,
2004-01,311.156,
2004-04,218.058,
2004-07,-97.131,
2004-10,-198.817,
2005-01,951.283,
2005-04,1449.879,
2005-07,165.576,
2005-10,-652.325,
2006-01,30.739,
2006-04,-218.650,
2006-07,-171.200,
2006-10,-130.960,
2007-01,584.507,
2007-04,211.757,
2007-07,-565.132,
2007-10,189.369,
2008-01,-95.255,
2008-04,930.834,
2008-07,283.536,
2008-10,-200.225,
2009-01,-241.782,
2009-04,-168.294,
2009-07,106.370,
2009-10,166.180,
2010-01,802.068,
2010-04,125.218,
2010-07,640.666,
2010-10,2332.640,
2011-01,242.679,
2011-04,267.518,
2011-07,248.782,
2011-10,123.871,
2012-01,264.990,
2012-04,912.889,
2012-07,-61.085,
2012-10,1148.513,
2013-01,161.121,
2013-04,251.658,
2013-07,215.433,
2013-10,441.766,
2014-01,204.754,Provisional value
2014-04,-114.623,Provisional value
2014-07,-60.926,Provisional value
2014-10,-139.644,Provisional value
