"",BBK01.CEB22Q,BBK01.CEB22Q_FLAGS
"",Currency and deposits (consolidated) debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:24,
1991-01,1522.4,
1991-04,1547.6,
1991-07,1542.2,
1991-10,1601.7,
1992-01,1601.9,
1992-04,1628.9,
1992-07,1671.3,
1992-10,1695.0,
1993-01,1698.2,
1993-04,1742.3,
1993-07,1764.9,
1993-10,1865.0,
1994-01,1867.5,
1994-04,1887.3,
1994-07,1903.6,
1994-10,1955.9,
1995-01,1948.5,
1995-04,1987.5,
1995-07,2022.0,
1995-10,2090.4,
1996-01,2111.4,
1996-04,2142.8,
1996-07,2153.7,
1996-10,2249.7,
1997-01,2288.6,
1997-04,2333.1,
1997-07,2338.0,
1997-10,2427.3,
1998-01,2465.6,
1998-04,2516.6,
1998-07,2517.9,
1998-10,2651.1,
1999-01,2718.1,
1999-04,2746.6,
1999-07,2773.0,
1999-10,2846.7,
2000-01,2938.4,
2000-04,2939.3,
2000-07,2980.7,
2000-10,3019.5,
2001-01,3155.4,
2001-04,3163.7,
2001-07,3146.4,
2001-10,3128.3,
2002-01,3124.8,
2002-04,3120.9,
2002-07,3161.6,
2002-10,3188.4,
2003-01,3230.2,
2003-04,3251.7,
2003-07,3255.1,
2003-10,3242.0,
2004-01,3319.2,
2004-04,3295.3,
2004-07,3338.8,
2004-10,3352.6,
2005-01,3455.3,
2005-04,3489.4,
2005-07,3514.5,
2005-10,3513.3,
2006-01,3594.2,
2006-04,3632.8,
2006-07,3667.1,
2006-10,3682.0,
2007-01,3745.3,
2007-04,3825.7,
2007-07,3920.5,
2007-10,3946.7,
2008-01,4055.3,
2008-04,4073.4,
2008-07,4179.3,
2008-10,4136.5,
2009-01,4172.5,
2009-04,4201.6,
2009-07,4127.2,
2009-10,4099.4,
2010-01,4157.0,
2010-04,4305.4,
2010-07,4285.9,
2010-10,4298.6,
2011-01,4253.0,
2011-04,4276.6,
2011-07,4455.0,
2011-10,4406.1,
2012-01,4625.5,
2012-04,4726.8,
2012-07,4742.8,
2012-10,4617.1,
2013-01,4568.4,
2013-04,4583.2,
2013-07,4506.0,
2013-10,4450.6,
2014-01,4481.8,
