"",BBK01.OEBB17H,BBK01.OEBB17H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:47,
2002-01,76.072,
2002-04,76.682,
2002-07,76.515,
2002-10,76.174,
2003-01,75.896,
2003-04,75.366,
2003-07,74.843,
2003-10,73.478,
2004-01,71.641,
2004-04,72.191,
2004-07,70.778,
2004-10,68.205,
2005-01,69.262,
2005-04,68.678,
2005-07,68.068,
2005-10,67.215,
2006-01,65.786,
2006-04,64.691,
2006-07,64.100,
2006-10,63.103,
2007-01,61.667,
2007-04,60.732,
2007-07,59.575,
2007-10,57.532,
2008-01,55.916,
2008-04,54.492,
2008-07,53.416,
2008-10,51.903,
2009-01,50.587,
2009-04,38.278,
2009-07,38.122,
2009-10,37.293,
2010-01,36.633,
2010-04,36.972,
2010-07,36.556,
2010-10,37.046,
2011-01,35.908,
2011-04,35.910,
2011-07,37.961,
2011-10,37.748,
2012-01,37.593,
2012-04,37.697,
2012-07,37.836,
2012-10,37.748,
2013-01,37.648,
2013-04,37.867,
2013-07,37.882,
2013-10,37.859,
2014-01,37.859,
2014-04,38.191,
2014-07,38.589,
