"",BBK01.OEAD01S,BBK01.OEAD01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:48,
2002-01,0.965,
2002-04,0.945,
2002-07,0.924,
2002-10,0.892,
2003-01,0.876,
2003-04,0.859,
2003-07,0.829,
2003-10,0.821,
2004-01,0.812,
2004-04,0.802,
2004-07,0.810,
2004-10,0.763,
2005-01,0.760,
2005-04,0.745,
2005-07,0.733,
2005-10,0.704,
2006-01,0.726,
2006-04,0.740,
2006-07,0.713,
2006-10,0.687,
2007-01,0.705,
2007-04,0.680,
2007-07,0.681,
2007-10,0.689,
2008-01,0.676,
2008-04,0.667,
2008-07,0.691,
2008-10,0.691,
2009-01,0.691,
2009-04,0.705,
2009-07,0.725,
2009-10,0.715,
2010-01,0.730,
2010-04,0.709,
2010-07,0.710,
2010-10,0.726,
2011-01,0.733,
2011-04,0.750,
2011-07,0.745,
2011-10,0.734,
2012-01,0.744,
2012-04,0.718,
2012-07,0.692,
2012-10,0.666,
2013-01,0.685,
2013-04,0.695,
2013-07,0.727,
2013-10,0.709,
2014-01,0.718,
2014-04,0.729,
2014-07,0.748,
