"",BBK01.OEBJ01V,BBK01.OEBJ01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:08,
2002-01,2.911,
2002-04,3.002,
2002-07,3.184,
2002-10,3.379,
2003-01,3.204,
2003-04,3.117,
2003-07,3.289,
2003-10,4.064,
2004-01,4.280,
2004-04,4.612,
2004-07,5.108,
2004-10,4.175,
2005-01,4.024,
2005-04,4.442,
2005-07,5.908,
2005-10,4.573,
2006-01,4.188,
2006-04,4.380,
2006-07,4.596,
2006-10,5.108,
2007-01,5.103,
2007-04,4.981,
2007-07,5.091,
2007-10,5.499,
2008-01,5.657,
2008-04,5.579,
2008-07,6.079,
2008-10,5.259,
2009-01,6.524,
2009-04,6.453,
2009-07,6.473,
2009-10,5.647,
2010-01,5.777,
2010-04,5.822,
2010-07,5.659,
2010-10,5.633,
2011-01,5.741,
2011-04,5.806,
2011-07,5.974,
2011-10,5.854,
2012-01,5.922,
2012-04,5.757,
2012-07,5.995,
2012-10,5.959,
2013-01,5.764,
2013-04,5.823,
2013-07,5.881,
2013-10,6.094,
2014-01,6.280,
2014-04,6.388,
2014-07,6.466,
