"",BBK01.OEAE24Q,BBK01.OEAE24Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:27,
2002-01,0.433,
2002-04,0.446,
2002-07,0.434,
2002-10,0.462,
2003-01,0.428,
2003-04,0.418,
2003-07,0.396,
2003-10,0.403,
2004-01,0.335,
2004-04,0.321,
2004-07,0.322,
2004-10,0.333,
2005-01,0.316,
2005-04,0.334,
2005-07,0.336,
2005-10,0.352,
2006-01,0.315,
2006-04,0.292,
2006-07,0.257,
2006-10,0.225,
2007-01,0.243,
2007-04,0.219,
2007-07,0.217,
2007-10,0.222,
2008-01,0.200,
2008-04,0.198,
2008-07,0.184,
2008-10,0.174,
2009-01,0.192,
2009-04,0.200,
2009-07,0.205,
2009-10,0.199,
2010-01,0.182,
2010-04,0.177,
2010-07,0.169,
2010-10,0.142,
2011-01,0.125,
2011-04,0.122,
2011-07,0.136,
2011-10,0.126,
2012-01,0.133,
2012-04,0.134,
2012-07,0.137,
2012-10,0.134,
2013-01,0.154,
2013-04,0.148,
2013-07,0.143,
2013-10,0.119,
2014-01,0.124,
2014-04,0.150,
2014-07,0.152,
