"",BBK01.CEFFC1,BBK01.CEFFC1_FLAGS
"",long-term loans                    debtor: General government                        creditor: Nichtfinanzielle Gesellschaften,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:53,
1999-01,0.0,
1999-04,0.0,
1999-07,0.0,
1999-10,0.0,
2000-01,1.0,
2000-04,1.1,
2000-07,1.1,
2000-10,1.2,
2001-01,1.3,
2001-04,1.4,
2001-07,1.5,
2001-10,1.6,
2002-01,1.7,
2002-04,1.9,
2002-07,2.1,
2002-10,2.3,
2003-01,2.3,
2003-04,2.4,
2003-07,2.5,
2003-10,2.5,
2004-01,2.5,
2004-04,2.5,
2004-07,2.5,
2004-10,2.5,
2005-01,2.5,
2005-04,2.5,
2005-07,2.5,
2005-10,2.5,
2006-01,2.6,
2006-04,2.6,
2006-07,2.6,
2006-10,2.7,
2007-01,2.8,
2007-04,2.9,
2007-07,3.0,
2007-10,3.1,
2008-01,3.2,
2008-04,3.4,
2008-07,3.6,
2008-10,3.7,
2009-01,3.9,
2009-04,4.1,
2009-07,4.3,
2009-10,4.4,
2010-01,4.6,
2010-04,4.8,
2010-07,5.0,
2010-10,5.1,
2011-01,5.3,
2011-04,5.5,
2011-07,5.6,
2011-10,5.8,
2012-01,5.9,
2012-04,6.0,
2012-07,6.2,
2012-10,6.3,
2013-01,6.3,
2013-04,6.4,
2013-07,6.5,
2013-10,6.5,
2014-01,6.5,
2014-04,6.5,
2014-07,6.5,
