"",BBK01.OEAH75I,BBK01.OEAH75I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:47,
2002-01,6.548,
2002-04,6.614,
2002-07,6.639,
2002-10,6.582,
2003-01,6.590,
2003-04,6.647,
2003-07,6.703,
2003-10,6.477,
2004-01,6.440,
2004-04,6.501,
2004-07,6.340,
2004-10,6.350,
2005-01,6.251,
2005-04,6.285,
2005-07,6.190,
2005-10,6.253,
2006-01,6.194,
2006-04,6.230,
2006-07,6.264,
2006-10,6.183,
2007-01,6.015,
2007-04,6.025,
2007-07,6.019,
2007-10,5.875,
2008-01,5.797,
2008-04,5.804,
2008-07,5.739,
2008-10,5.738,
2009-01,5.716,
2009-04,5.618,
2009-07,5.662,
2009-10,5.647,
2010-01,5.558,
2010-04,5.563,
2010-07,5.393,
2010-10,5.351,
2011-01,5.355,
2011-04,5.365,
2011-07,5.334,
2011-10,5.343,
2012-01,5.176,
2012-04,5.155,
2012-07,5.205,
2012-10,5.312,
2013-01,5.320,
2013-04,5.450,
2013-07,5.441,
2013-10,5.307,
2014-01,5.412,
2014-04,5.520,
2014-07,5.481,
