"",BBK01.OEAO05H,BBK01.OEAO05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:46,
2002-01,0.291,
2002-04,0.184,
2002-07,0.193,
2002-10,2.371,
2003-01,0.393,
2003-04,0.155,
2003-07,0.166,
2003-10,2.187,
2004-01,0.229,
2004-04,0.211,
2004-07,0.142,
2004-10,2.065,
2005-01,0.199,
2005-04,0.149,
2005-07,0.157,
2005-10,1.951,
2006-01,0.190,
2006-04,0.133,
2006-07,0.146,
2006-10,1.992,
2007-01,0.178,
2007-04,0.140,
2007-07,0.166,
2007-10,2.167,
2008-01,0.198,
2008-04,0.183,
2008-07,0.212,
2008-10,2.126,
2009-01,0.201,
2009-04,0.181,
2009-07,0.215,
2009-10,1.716,
2010-01,0.259,
2010-04,0.136,
2010-07,0.169,
2010-10,1.474,
2011-01,0.165,
2011-04,0.142,
2011-07,0.175,
2011-10,1.380,
2012-01,0.176,
2012-04,0.147,
2012-07,0.176,
2012-10,1.379,
2013-01,0.173,
2013-04,0.138,
2013-07,0.140,
2013-10,1.047,
2014-01,0.138,
2014-04,0.125,
2014-07,0.128,
