"",BBK01.OEXB08U,BBK01.OEXB08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:24,
2002-01,4.252,
2002-04,4.358,
2002-07,4.382,
2002-10,4.574,
2003-01,4.613,
2003-04,4.671,
2003-07,4.776,
2003-10,4.859,
2004-01,4.846,
2004-04,4.794,
2004-07,4.810,
2004-10,4.846,
2005-01,4.848,
2005-04,4.803,
2005-07,4.904,
2005-10,4.914,
2006-01,4.932,
2006-04,4.995,
2006-07,5.070,
2006-10,5.178,
2007-01,5.190,
2007-04,5.172,
2007-07,5.209,
2007-10,5.524,
2008-01,5.225,
2008-04,5.150,
2008-07,5.188,
2008-10,5.198,
2009-01,5.151,
2009-04,5.158,
2009-07,5.270,
2009-10,5.340,
2010-01,5.334,
2010-04,5.335,
2010-07,5.441,
2010-10,5.562,
2011-01,5.598,
2011-04,5.679,
2011-07,5.737,
2011-10,5.768,
2012-01,5.773,
2012-04,5.813,
2012-07,5.833,
2012-10,5.859,
2013-01,6.109,
2013-04,6.131,
2013-07,6.169,
2013-10,6.296,
2014-01,6.290,
2014-04,6.360,
2014-07,6.189,
