"",BBK01.OEAH10Q,BBK01.OEAH10Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:01,
2002-01,1.903,
2002-04,1.921,
2002-07,1.885,
2002-10,1.829,
2003-01,1.782,
2003-04,1.546,
2003-07,1.718,
2003-10,1.714,
2004-01,1.782,
2004-04,1.705,
2004-07,1.696,
2004-10,1.695,
2005-01,1.597,
2005-04,1.564,
2005-07,1.485,
2005-10,1.451,
2006-01,1.424,
2006-04,1.418,
2006-07,1.387,
2006-10,1.333,
2007-01,1.290,
2007-04,1.253,
2007-07,1.213,
2007-10,1.163,
2008-01,1.136,
2008-04,1.114,
2008-07,1.152,
2008-10,1.126,
2009-01,1.090,
2009-04,1.068,
2009-07,1.065,
2009-10,1.105,
2010-01,1.111,
2010-04,1.145,
2010-07,1.620,
2010-10,1.707,
2011-01,1.482,
2011-04,1.522,
2011-07,1.473,
2011-10,1.452,
2012-01,1.436,
2012-04,1.412,
2012-07,1.387,
2012-10,1.297,
2013-01,1.250,
2013-04,1.178,
2013-07,1.136,
2013-10,1.093,
2014-01,1.005,
2014-04,0.967,
2014-07,0.898,
