"",BBK01.OEAH89G,BBK01.OEAH89G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:39,
2002-01,38.829,
2002-04,35.908,
2002-07,35.728,
2002-10,33.867,
2003-01,31.739,
2003-04,30.921,
2003-07,29.263,
2003-10,27.029,
2004-01,22.960,
2004-04,22.507,
2004-07,21.695,
2004-10,20.956,
2005-01,16.894,
2005-04,16.390,
2005-07,15.844,
2005-10,16.579,
2006-01,13.866,
2006-04,13.398,
2006-07,13.402,
2006-10,12.730,
2007-01,12.491,
2007-04,12.680,
2007-07,12.511,
2007-10,11.753,
2008-01,9.575,
2008-04,9.488,
2008-07,8.608,
2008-10,8.826,
2009-01,8.370,
2009-04,6.214,
2009-07,5.565,
2009-10,3.533,
2010-01,3.931,
2010-04,4.122,
2010-07,4.038,
2010-10,3.194,
2011-01,3.279,
2011-04,3.444,
2011-07,3.287,
2011-10,3.422,
2012-01,3.438,
2012-04,3.459,
2012-07,2.974,
2012-10,3.019,
2013-01,2.178,
2013-04,2.085,
2013-07,1.979,
2013-10,2.838,
2014-01,2.601,
2014-04,2.338,
2014-07,2.303,
