"",BBK01.CELECN,BBK01.CELECN_FLAGS
"",short-term loans                                              debtor: General government                         creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:31,
1999-01,-1.3,
1999-04,-0.1,
1999-07,-0.4,
1999-10,-0.1,
2000-01,0.5,
2000-04,-0.1,
2000-07,-0.2,
2000-10,-0.7,
2001-01,-0.1,
2001-04,0.0,
2001-07,0.0,
2001-10,0.0,
2002-01,0.1,
2002-04,0.1,
2002-07,-0.2,
2002-10,0.2,
2003-01,-0.1,
2003-04,0.0,
2003-07,0.0,
2003-10,0.0,
2004-01,0.2,
2004-04,-0.1,
2004-07,0.2,
2004-10,0.4,
2005-01,2.4,
2005-04,1.4,
2005-07,-5.1,
2005-10,2.3,
2006-01,-1.6,
2006-04,-1.6,
2006-07,3.5,
2006-10,-3.1,
2007-01,0.0,
2007-04,2.0,
2007-07,1.3,
2007-10,-2.7,
2008-01,3.8,
2008-04,5.3,
2008-07,1.3,
2008-10,-4.7,
2009-01,9.5,
2009-04,-2.4,
2009-07,0.6,
2009-10,-8.3,
2010-01,-3.0,
2010-04,1.5,
2010-07,2.4,
2010-10,93.2,
2011-01,-12.9,
2011-04,-2.0,
2011-07,3.7,
2011-10,26.0,
2012-01,-39.7,
2012-04,-6.9,
2012-07,-18.4,
2012-10,-2.2,
2013-01,-6.2,
2013-04,2.8,
2013-07,-10.4,
2013-10,2.6,
2014-01,-6.7,
2014-04,3.9,
2014-07,-3.8,
