"",BBK01.OELB12P,BBK01.OELB12P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:48,
2002-01,0.437,
2002-04,0.448,
2002-07,0.440,
2002-10,0.449,
2003-01,0.452,
2003-04,0.452,
2003-07,0.449,
2003-10,0.444,
2004-01,0.456,
2004-04,0.451,
2004-07,0.455,
2004-10,0.442,
2005-01,0.440,
2005-04,0.435,
2005-07,0.452,
2005-10,0.436,
2006-01,0.428,
2006-04,0.435,
2006-07,0.434,
2006-10,0.434,
2007-01,0.433,
2007-04,0.433,
2007-07,0.451,
2007-10,0.478,
2008-01,0.485,
2008-04,0.523,
2008-07,0.524,
2008-10,0.549,
2009-01,0.540,
2009-04,0.551,
2009-07,0.571,
2009-10,0.584,
2010-01,0.582,
2010-04,0.587,
2010-07,0.596,
2010-10,0.626,
2011-01,0.635,
2011-04,0.663,
2011-07,0.675,
2011-10,0.687,
2012-01,0.697,
2012-04,0.728,
2012-07,0.751,
2012-10,0.768,
2013-01,0.776,
2013-04,0.785,
2013-07,0.788,
2013-10,0.793,
2014-01,0.761,
2014-04,0.768,
2014-07,0.779,
