"",BBK01.OEAJ04P,BBK01.OEAJ04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:20,
2002-01,0.901,
2002-04,1.013,
2002-07,1.054,
2002-10,1.133,
2003-01,1.196,
2003-04,1.194,
2003-07,1.090,
2003-10,1.222,
2004-01,1.212,
2004-04,1.193,
2004-07,1.065,
2004-10,1.290,
2005-01,1.280,
2005-04,1.100,
2005-07,1.109,
2005-10,1.279,
2006-01,1.232,
2006-04,1.184,
2006-07,1.333,
2006-10,1.452,
2007-01,1.489,
2007-04,1.860,
2007-07,2.051,
2007-10,2.171,
2008-01,2.284,
2008-04,2.373,
2008-07,2.463,
2008-10,2.181,
2009-01,2.305,
2009-04,2.305,
2009-07,2.434,
2009-10,2.121,
2010-01,2.289,
2010-04,1.976,
2010-07,2.197,
2010-10,2.437,
2011-01,2.603,
2011-04,2.900,
2011-07,2.917,
2011-10,3.059,
2012-01,2.555,
2012-04,2.526,
2012-07,2.820,
2012-10,2.236,
2013-01,2.323,
2013-04,1.929,
2013-07,1.803,
2013-10,1.151,
2014-01,1.532,
2014-04,1.491,
2014-07,1.181,
