"",BBK01.OEAP01N,BBK01.OEAP01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:56,
2002-01,2.003,
2002-04,1.885,
2002-07,1.714,
2002-10,2.207,
2003-01,1.685,
2003-04,1.748,
2003-07,1.553,
2003-10,1.393,
2004-01,1.397,
2004-04,1.324,
2004-07,1.167,
2004-10,1.084,
2005-01,0.788,
2005-04,0.876,
2005-07,0.799,
2005-10,0.702,
2006-01,0.674,
2006-04,0.561,
2006-07,0.437,
2006-10,0.412,
2007-01,0.363,
2007-04,0.385,
2007-07,0.352,
2007-10,0.351,
2008-01,0.234,
2008-04,0.257,
2008-07,0.254,
2008-10,0.276,
2009-01,0.266,
2009-04,0.219,
2009-07,0.205,
2009-10,0.173,
2010-01,0.173,
2010-04,0.190,
2010-07,0.172,
2010-10,0.172,
2011-01,0.242,
2011-04,0.177,
2011-07,0.147,
2011-10,0.114,
2012-01,0.125,
2012-04,0.135,
2012-07,0.094,
2012-10,0.114,
2013-01,0.075,
2013-04,0.085,
2013-07,0.073,
2013-10,0.054,
2014-01,0.048,
2014-04,0.063,
2014-07,0.030,
