"",BBSF2.M.1.S.00000.TOT01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Number,
unit,STUECK (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:48:08,
1968-01,.,No value available
1968-02,.,No value available
1968-03,.,No value available
1968-04,.,No value available
1968-05,.,No value available
1968-06,.,No value available
1968-07,.,No value available
1968-08,.,No value available
1968-09,.,No value available
1968-10,.,No value available
1968-11,-,Nothing exists
1968-12,13,
1969-01,13,
1969-02,15,
1969-03,15,
1969-04,20,
1969-05,26,
1969-06,31,
1969-07,39,
1969-08,44,
1969-09,45,
1969-10,52,
1969-11,-,Nothing exists
1969-12,68,
1970-01,74,
1970-02,76,
1970-03,80,
1970-04,86,
1970-05,87,
1970-06,88,
1970-07,88,
1970-08,96,
1970-09,102,
1970-10,106,
1970-11,108,
1970-12,112,
1971-01,112,
1971-02,113,
1971-03,115,
1971-04,100,
1971-05,100,
1971-06,104,
1971-07,109,
1971-08,110,
1971-09,111,
1971-10,117,
1971-11,118,
1971-12,119,
1972-01,124,
1972-02,124,
1972-03,126,
1972-04,129,
1972-05,131,
1972-06,132,
1972-07,136,
1972-08,140,
1972-09,141,
1972-10,142,
1972-11,142,
1972-12,146,
1973-01,147,
1973-02,148,
1973-03,152,
1973-04,157,
1973-05,157,
1973-06,162,
1973-07,165,
1973-08,165,
1973-09,167,
1973-10,172,
1973-11,175,
1973-12,176,
1974-01,176,
1974-02,181,
1974-03,182,
1974-04,185,
1974-05,188,
1974-06,190,
1974-07,192,
1974-08,198,
1974-09,197,
1974-10,198,
1974-11,200,
1974-12,203,
1975-01,205,
1975-02,208,
1975-03,209,
1975-04,210,
1975-05,212,
1975-06,214,
1975-07,220,
1975-08,222,
1975-09,221,
1975-10,225,
1975-11,225,
1975-12,233,
1976-01,235,
1976-02,239,
1976-03,239,
1976-04,242,
1976-05,248,
1976-06,252,
1976-07,254,
1976-08,256,
1976-09,257,
1976-10,263,
1976-11,265,
1976-12,267,
1977-01,271,
1977-02,275,
1977-03,281,
1977-04,288,
1977-05,291,
1977-06,296,
1977-07,299,
1977-08,306,
1977-09,307,
1977-10,316,
1977-11,315,
1977-12,326,
1978-01,329,
1978-02,332,
1978-03,334,
1978-04,338,
1978-05,343,
1978-06,351,
1978-07,360,
1978-08,364,
1978-09,369,
1978-10,372,
1978-11,373,
1978-12,381,
1979-01,393,
1979-02,401,
1979-03,407,
1979-04,412,
1979-05,415,
1979-06,419,
1979-07,425,
1979-08,428,
1979-09,433,
1979-10,438,
1979-11,441,
1979-12,447,
1980-01,450,
1980-02,458,
1980-03,461,
1980-04,465,
1980-05,468,
1980-06,472,
1980-07,481,
1980-08,483,
1980-09,486,
1980-10,489,
1980-11,487,
1980-12,488,
1981-01,488,
1981-02,490,
1981-03,491,
1981-04,491,
1981-05,495,
1981-06,499,
1981-07,502,
1981-08,501,
1981-09,507,
1981-10,510,
1981-11,512,
1981-12,515,
1982-01,519,
1982-02,526,
1982-03,528,
1982-04,533,
1982-05,535,
1982-06,542,
1982-07,544,
1982-08,544,
1982-09,544,
1982-10,548,
1982-11,547,
1982-12,553,
1983-01,556,
1983-02,559,
1983-03,563,
1983-04,567,
1983-05,568,
1983-06,570,
1983-07,572,
1983-08,572,
1983-09,573,
1983-10,576,
1983-11,579,
1983-12,585,
1984-01,591,
1984-02,600,
1984-03,603,
1984-04,606,
1984-05,609,
1984-06,612,
1984-07,623,
1984-08,630,
1984-09,636,
1984-10,643,
1984-11,647,
1984-12,650,
1985-01,658,
1985-02,663,
1985-03,665,
1985-04,670,
1985-05,676,
1985-06,679,
1985-07,691,
1985-08,696,
1985-09,703,
1985-10,716,
1985-11,726,
1985-12,740,
1986-01,755,
1986-02,763,
1986-03,781,
1986-04,797,
1986-05,810,
1986-06,826,
1986-07,838,
1986-08,859,
1986-09,864,
1986-10,874,
1986-11,885,
1986-12,907,
1987-01,923,
1987-02,939,
1987-03,955,
1987-04,968,
1987-05,981,
1987-06,999,
1987-07,1015,
1987-08,1034,
1987-09,1052,
1987-10,1072,
1987-11,1088,
1987-12,1104,
1988-01,1123,
1988-02,1141,
1988-03,1150,
1988-04,1167,
1988-05,1182,
1988-06,1211,
1988-07,1231,
1988-08,1249,
1988-09,1259,
1988-10,1270,
1988-11,1278,
1988-12,1299,
1989-01,1314,
1989-02,1326,
1989-03,1329,
1989-04,1348,
1989-05,1358,
1989-06,1374,
1989-07,1390,
1989-08,1401,
1989-09,1421,
1989-10,1437,
1989-11,1444,
1989-12,1474,
1990-01,1496,
1990-02,1533,
1990-03,1499,
1990-04,1521,
1990-05,1537,
1990-06,1557,
1990-07,1571,
1990-08,1586,
1990-09,1601,
1990-10,1615,
1990-11,1622,
1990-12,1649,
1991-01,1661,
1991-02,1680,
1991-03,1691,
1991-04,1703,
1991-05,1721,
1991-06,1730,
1991-07,1755,
1991-08,1763,
1991-09,1775,
1991-10,1791,
1991-11,1800,
1991-12,1815,
1992-01,1840,
1992-02,1876,
1992-03,1890,
1992-04,1907,
1992-05,1918,
1992-06,1925,
1992-07,1938,
1992-08,1946,
1992-09,1962,
1992-10,1972,
1992-11,1979,
1992-12,1986,
1993-01,2001,
1993-02,2030,
1993-03,2040,
1993-04,2059,
1993-05,2073,
1993-06,2079,
1993-07,2106,
1993-08,2124,
1993-09,2147,
1993-10,2164,
1993-11,2176,
1993-12,2207,
1994-01,2236,
1994-02,2273,
1994-03,2301,
1994-04,2330,
1994-05,2356,
1994-06,2376,
1994-07,2410,
1994-08,2440,
1994-09,2454,
1994-10,2462,
1994-11,2467,
1994-12,2498,
1995-01,2511,
1995-02,2538,
1995-03,2547,
1995-04,2560,
1995-05,2567,
1995-06,2574,
1995-07,2577,
1995-08,2590,
1995-09,2592,
1995-10,2592,
1995-11,2591,
1995-12,2624,
1996-01,2663,
1996-02,2686,
1996-03,2712,
1996-04,2747,
1996-05,2764,
1996-06,2780,
1996-07,2814,
1996-08,2844,
1996-09,2860,
1996-10,2899,
1996-11,2914,
1996-12,2958,
1997-01,3002,
1997-02,3042,
1997-03,3091,
1997-04,3131,
1997-05,3157,
1997-06,3202,
1997-07,3270,
1997-08,3336,
1997-09,3389,
1997-10,3438,
1997-11,3465,
1997-12,3508,
1998-01,3561,
1998-02,3618,
1998-03,3734,
1998-04,3755,
1998-05,3805,
1998-06,3860,
1998-07,3949,
1998-08,4021,
1998-09,4088,
1998-10,4137,
1998-11,4179,
1998-12,4245,
1999-01,4302,
1999-02,4349,
1999-03,4392,
1999-04,4445,
1999-05,4495,
1999-06,4538,
1999-07,4600,
1999-08,4654,
1999-09,4676,
1999-10,4718,
1999-11,4744,
1999-12,4829,
2000-01,4873,
2000-02,4908,
2000-03,4962,
2000-04,5020,
2000-05,5067,
2000-06,5088,
2000-07,5132,
2000-08,5165,
2000-09,5216,
2000-10,5268,
2000-11,5282,
2000-12,5328,
2001-01,5408,
2001-02,5465,
2001-03,5467,
2001-04,5500,
2001-05,5519,
2001-06,5530,
2001-07,5570,
2001-08,5592,
2001-09,5589,
2001-10,5582,
2001-11,5568,
2001-12,5550,
2002-01,5563,
2002-02,5553,
2002-03,5551,
2002-04,5569,
2002-05,5550,
2002-06,5533,
2002-07,5516,
2002-08,5524,
2002-09,5508,
2002-10,5513,
2002-11,5466,
2002-12,5372,
2003-01,5377,
2003-02,5354,
2003-03,5328,
2003-04,5325,
2003-05,5309,
2003-06,5298,
2003-07,5274,
2003-08,5284,
2003-09,5280,
2003-10,5295,
2003-11,5249,
2003-12,5251,
2004-01,5242,
2004-02,5213,
2004-03,5204,
2004-04,5195,
2004-05,5176,
2004-06,5157,
2004-07,5144,
2004-08,5128,
2004-09,5059,
2004-10,5026,
2004-11,4975,
2004-12,4914,
2005-01,4909,
2005-02,4887,
2005-03,4848,
2005-04,4845,
2005-05,4819,
2005-06,4811,
2005-07,4803,
2005-08,4807,
2005-09,4781,
2005-10,4757,
2005-11,4728,
2005-12,4659,
2006-01,4660,
2006-02,4641,
2006-03,4607,
2006-04,4570,
2006-05,4533,
2006-06,4512,
2006-07,4498,
2006-08,4490,
2006-09,4485,
2006-10,4458,
2006-11,4439,
2006-12,4367,
2007-01,4323,
2007-02,4309,
2007-03,4283,
2007-04,4267,
2007-05,4253,
2007-06,4239,
2007-07,4238,
2007-08,4218,
2007-09,4210,
2007-10,4234,
2007-11,4215,
2007-12,4167,
2008-01,4132,
2008-02,4106,
2008-03,4087,
2008-04,4090,
2008-05,4080,
2008-06,4053,
2008-07,4034,
2008-08,4026,
2008-09,3993,
2008-10,3961,
2008-11,3974,
