"",BBFB1.Q.N.DE.CN.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CN.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:59,
1991-01,1417.255,
1991-04,1257.541,
1991-07,1607.122,
1991-10,1431.234,
1992-01,1528.659,
1992-04,1224.307,
1992-07,1437.179,
1992-10,1406.975,
1993-01,1585.485,
1993-04,1479.564,
1993-07,1838.117,
1993-10,1872.435,
1994-01,2081.387,
1994-04,1607.006,
1994-07,1944.222,
1994-10,1925.230,
1995-01,1893.395,
1995-04,1776.330,
1995-07,2137.099,
1995-10,2149.238,
1996-01,2242.006,
1996-04,1955.215,
1996-07,2364.971,
1996-10,2277.278,
1997-01,2527.561,
1997-04,2377.395,
1997-07,2855.574,
1997-10,2854.688,
1998-01,2816.246,
1998-04,2558.530,
1998-07,2981.608,
1998-10,2845.847,
1999-01,2898.528,
1999-04,2775.843,
1999-07,3546.027,
1999-10,3846.512,
2000-01,3797.638,
2000-04,3905.545,
2000-07,4515.910,
2000-10,5075.389,
2001-01,4493.410,
2001-04,4157.963,
2001-07,4784.889,
2001-10,5169.347,
2002-01,4618.447,
2002-04,4454.612,
2002-07,4972.794,
2002-10,6051.280,
2003-01,5730.219,
2003-04,5615.260,
2003-07,5842.605,
2003-10,7131.510,
2004-01,6418.398,
2004-04,7044.203,
2004-07,7995.499,
2004-10,9601.562,
2005-01,8318.706,
2005-04,8913.045,
2005-07,10341.669,
2005-10,11666.451,
2006-01,11793.250,
2006-04,10574.786,
2006-07,11453.112,
2006-10,13958.491,
2007-01,13335.100,
2007-04,11367.235,
2007-07,14078.943,
2007-10,14988.226,
2008-01,13453.774,
2008-04,12556.286,
2008-07,15504.974,
2008-10,16636.543,
2009-01,13594.800,
2009-04,11927.599,
2009-07,14341.205,
2009-10,15150.317,
2010-01,15967.693,
2010-04,17370.859,
2010-07,20400.101,
2010-10,20423.598,
2011-01,18603.068,
2011-04,18220.183,
2011-07,20047.453,
2011-10,19976.983,
2012-01,18424.880,
2012-04,17804.758,
2012-07,19881.039,
2012-10,18791.548,
2013-01,17685.532,
2013-04,16149.065,
2013-07,19110.624,
2013-10,17637.672,
2014-01,17902.934,Provisional value
2014-04,16638.548,Provisional value
2014-07,20206.613,Provisional value
