"",BBEX3.M.KHR.EUR.CA.AB.A01,BBEX3.M.KHR.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Cambodia / EUR 1 = KHR ... (selling),
unit,KHR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:28,
1999-01,4350.00,
1999-02,4210.00,
1999-03,4110.00,
1999-04,4069.00,
1999-05,4009.00,
1999-06,3963.00,
1999-07,4132.00,
1999-08,4101.00,
1999-09,4183.00,
1999-10,4062.00,
1999-11,3870.00,
1999-12,3826.00,
2000-01,3747.00,
2000-02,3728.00,
2000-03,3693.00,
2000-04,3516.00,
2000-05,3620.00,
2000-06,3706.00,
2000-07,3610.00,
2000-08,3514.00,
2000-09,3459.00,
2000-10,3254.00,
2000-11,3358.00,
2000-12,3663.00,
2001-01,3655.00,
2001-02,3621.00,
2001-03,3483.00,
2001-04,3483.00,
2001-05,3385.00,
2001-06,3340.00,
2001-07,3464.00,
2001-08,3636.00,
2001-09,3638.00,
2001-10,3595.00,
2001-11,3514.00,
2001-12,3471.00,
2002-01,3388.00,
2002-02,3413.00,
2002-03,3426.00,
2002-04,3550.00,
2002-05,3694.00,
2002-06,3926.00,
2002-07,3885.00,
2002-08,3894.00,
2002-09,3911.00,
2002-10,3908.00,
2002-11,3942.00,
2002-12,4158.00,
2003-01,4298.00,
2003-02,4272.00,
2003-03,4298.00,
2003-04,4439.00,
2003-05,4803.00,
2003-06,4596.00,
2003-07,4565.00,
2003-08,4422.00,
2003-09,4696.00,
2003-10,4714.00,
2003-11,4795.00,
2003-12,5045.00,
2004-01,4994.00,
2004-02,5017.00,
2004-03,4906.00,
2004-04,4827.00,
2004-05,4966.00,
2004-06,4903.00,
2004-07,4891.00,
2004-08,4933.00,
2004-09,5042.00,
2004-10,5193.00,
2004-11,5379.00,
2004-12,5538.00,
2005-01,5299.00,
2005-02,5211.00,
2005-03,5257.00,
2005-04,5268.00,
2005-05,5120.00,
2005-06,5008.00,
2005-07,5142.00,
2005-08,5077.00,
2005-09,5068.00,
2005-10,5134.00,
2005-11,4949.00,
2005-12,4919.00,
2006-01,4977.00,
2006-02,4882.00,
2006-03,5030.00,
2006-04,5179.00,
2006-05,5325.00,
2006-06,5256.00,
2006-07,5301.00,
2006-08,5371.00,
2006-09,5331.00,
2006-10,5327.00,
2006-11,5443.00,
2006-12,5383.00,
2007-01,5319.00,
2007-02,5415.00,
2007-03,5458.00,
2007-04,5591.00,
2007-05,5530.00,
2007-06,5541.00,
2007-07,5648.00,
2007-08,5631.00,
2007-09,5825.00,
2007-10,5891.00,
2007-11,5970.00,
2007-12,5952.00,
2008-01,5993.00,
2008-02,6122.00,
2008-03,6393.00,
2008-04,6286.00,
2008-05,6303.00,
2008-06,6527.00,
2008-07,6462.00,
2008-08,6100.00,
2008-09,6093.00,
2008-10,5419.00,
2008-11,5290.00,
2008-12,5820.00,
2009-01,5360.00,
2009-02,5285.00,
2009-03,5444.00,
2009-04,5516.00,
2009-05,5832.00,
2009-06,5930.00,
2009-07,5958.00,
2009-08,5981.00,
2009-09,6152.00,
2009-10,6248.00,
2009-11,6300.00,
2009-12,6038.00,
2010-01,5827.00,
2010-02,5673.00,
2010-03,5625.00,
2010-04,5580.00,
2010-05,5190.00,
2010-06,5152.00,
2010-07,5544.00,
2010-08,5361.00,
2010-09,5772.00,
2010-10,5832.00,
2010-11,5352.00,
2010-12,5393.00,
2011-01,5510.00,
2011-02,5546.00,
2011-03,5666.00,
2011-04,5980.00,
2011-05,5859.00,
2011-06,5967.00,
2011-07,5888.00,
2011-08,5921.00,
2011-09,5557.00,
2011-10,5821.00,
2011-11,5382.00,
2011-12,5231.00,
2012-01,5338.00,
2012-02,5410.00,
2012-03,5321.00,
2012-04,5326.00,
2012-05,5026.00,
2012-06,5057.00,
2012-07,4990.00,
2012-08,5062.00,
2012-09,5221.00,
2012-10,5202.00,
2012-11,5178.00,
2012-12,5286.00,
2013-01,5475.00,
2013-02,5308.00,
2013-03,5170.00,
2013-04,5316.00,
2013-05,5353.00,
2013-06,5350.00,
2013-07,5442.00,
2013-08,5430.00,
2013-09,5536.00,
2013-10,5601.00,
2013-11,5488.00,
2013-12,5570.00,
2014-01,5469.00,
2014-02,5509.00,
2014-03,5577.00,
2014-04,5602.00,
2014-05,5538.00,
2014-06,5567.00,
2014-07,5480.00,
2014-08,5413.00,
2014-09,5235.00,
2014-10,5189.00,
2014-11,5111.00,
2014-12,5005.00,
2015-01,4644.00,
2015-02,4559.00,
"","Source: Since March 2002: National Bank of Cambodia, Phnom Penh 1999 - February 2002: Standard Chartered Bank, Phnom Penh",
