"",BBK01.OELB01R,BBK01.OELB01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:04,
2002-01,1.725,
2002-04,1.733,
2002-07,1.737,
2002-10,1.758,
2003-01,1.757,
2003-04,1.773,
2003-07,1.754,
2003-10,1.730,
2004-01,1.715,
2004-04,1.727,
2004-07,1.784,
2004-10,1.686,
2005-01,1.669,
2005-04,1.672,
2005-07,1.670,
2005-10,1.655,
2006-01,1.646,
2006-04,1.746,
2006-07,1.746,
2006-10,1.720,
2007-01,1.721,
2007-04,1.738,
2007-07,1.733,
2007-10,1.729,
2008-01,1.726,
2008-04,1.734,
2008-07,1.757,
2008-10,1.763,
2009-01,1.798,
2009-04,1.825,
2009-07,1.796,
2009-10,1.816,
2010-01,1.833,
2010-04,1.850,
2010-07,1.863,
2010-10,1.856,
2011-01,1.878,
2011-04,1.915,
2011-07,1.931,
2011-10,1.937,
2012-01,1.963,
2012-04,2.501,
2012-07,2.532,
2012-10,2.551,
2013-01,2.569,
2013-04,2.643,
2013-07,2.677,
2013-10,2.691,
2014-01,2.708,
2014-04,2.747,
2014-07,2.774,
