"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.FR.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.FR.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / France,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:02,
2009-09,15479,
2009-10,14993,
2009-11,15115,
2009-12,15978,
2010-01,15297,
2010-02,14956,
2010-03,16375,
2010-04,15874,
2010-05,14652,
2010-06,14423,
2010-07,15180,
2010-08,14596,
2010-09,15463,
2010-10,16207,
2010-11,15395,
2010-12,16208,
2011-01,17017,
2011-02,17305,
2011-03,16824,
2011-04,17031,
2011-05,16476,
2011-06,16455,
2011-07,15364,
2011-08,13543,
2011-09,12268,
2011-10,13385,
2011-11,12515,
2011-12,12609,
2012-01,12937,
2012-02,13401,
2012-03,13143,
2012-04,12504,
2012-05,11932,
2012-06,12368,
2012-07,12814,
2012-08,12752,
2012-09,12615,
2012-10,12819,
2012-11,13284,
2012-12,13674,
2013-01,14148,
2013-02,14074,
2013-03,14204,
2013-04,14967,
2013-05,15561,
2013-06,14328,
2013-07,15957,
2013-08,16034,
2013-09,16867,
2013-10,17653,
2013-11,17387,
2013-12,16801,
2014-01,16092,
2014-02,17228,
2014-03,17255,
2014-04,17759,
2014-05,18108,
2014-06,17662,
2014-07,16912,
2014-08,17188,
2014-09,17379,
2014-10,16727,
2014-11,17352,
