"",BBDP1.M.DE.N.EPG.G.GP09SA000000.I10.A,BBDP1.M.DE.N.EPG.G.GP09SA000000.I10.A_FLAGS
"",Index of producer prices of industrial products sold on the domestic market / Germany / Unadjusted figure / Total,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-20 08:00:22,
1976-01,51.9,
1976-02,52.1,
1976-03,52.4,
1976-04,52.8,
1976-05,52.9,
1976-06,53.2,
1976-07,53.5,
1976-08,53.6,
1976-09,53.6,
1976-10,53.6,
1976-11,53.6,
1976-12,53.6,
1977-01,53.8,
1977-02,54.2,
1977-03,54.4,
1977-04,54.7,
1977-05,54.7,
1977-06,54.7,
1977-07,54.7,
1977-08,54.7,
1977-09,54.7,
1977-10,54.7,
1977-11,54.7,
1977-12,54.6,
1978-01,54.7,
1978-02,54.7,
1978-03,54.8,
1978-04,54.9,
1978-05,55.3,
1978-06,55.3,
1978-07,55.3,
1978-08,55.3,
1978-09,55.3,
1978-10,55.3,
1978-11,55.5,
1978-12,55.6,
1979-01,55.9,
1979-02,56.2,
1979-03,56.8,
1979-04,57.1,
1979-05,57.4,
1979-06,57.7,
1979-07,58.1,
1979-08,58.2,
1979-09,58.5,
1979-10,58.8,
1979-11,59.0,
1979-12,59.3,
1980-01,60.2,
1980-02,60.7,
1980-03,61.1,
1980-04,62.0,
1980-05,62.2,
1980-06,62.3,
1980-07,62.4,
1980-08,62.4,
1980-09,62.4,
1980-10,63.0,
1980-11,63.4,
1980-12,63.6,
1981-01,64.3,
1981-02,64.9,
1981-03,65.3,
1981-04,66.1,
1981-05,66.5,
1981-06,66.8,
1981-07,67.5,
1981-08,67.9,
1981-09,68.1,
1981-10,68.7,
1981-11,68.9,
1981-12,69.0,
1982-01,70.0,
1982-02,70.0,
1982-03,70.1,
1982-04,70.5,
1982-05,70.7,
1982-06,71.1,
1982-07,71.3,
1982-08,71.3,
1982-09,71.3,
1982-10,71.7,
1982-11,71.7,
1982-12,71.5,
1983-01,71.5,
1983-02,71.4,
1983-03,71.3,
1983-04,71.5,
1983-05,71.6,
1983-06,71.8,
1983-07,71.9,
1983-08,72.3,
1983-09,72.4,
1983-10,72.5,
1983-11,72.7,
1983-12,72.8,
1984-01,73.2,
1984-02,73.3,
1984-03,73.4,
1984-04,73.8,
1984-05,73.9,
1984-06,74.0,
1984-07,74.1,
1984-08,74.1,
1984-09,74.4,
1984-10,74.8,
1984-11,74.8,
1984-12,74.8,
1985-01,75.4,
1985-02,75.6,
1985-03,75.7,
1985-04,75.9,
1985-05,76.0,
1985-06,76.0,
1985-07,76.1,
1985-08,75.9,
1985-09,76.0,
1985-10,75.9,
1985-11,75.8,
1985-12,75.7,
1986-01,75.6,
1986-02,75.3,
1986-03,75.0,
1986-04,74.5,
1986-05,74.2,
1986-06,74.2,
1986-07,73.8,
1986-08,73.6,
1986-09,73.6,
1986-10,72.6,
1986-11,72.4,
1986-12,72.3,
1987-01,72.3,
1987-02,72.0,
1987-03,72.0,
1987-04,71.8,
1987-05,71.9,
1987-06,72.0,
1987-07,72.2,
1987-08,72.3,
1987-09,72.2,
1987-10,72.4,
1987-11,72.4,
1987-12,72.4,
1988-01,72.4,
1988-02,72.4,
1988-03,72.4,
1988-04,72.7,
1988-05,72.9,
1988-06,73.1,
1988-07,73.1,
1988-08,73.2,
1988-09,73.3,
1988-10,73.4,
1988-11,73.5,
1988-12,73.7,
1989-01,74.5,
1989-02,74.6,
1989-03,74.9,
1989-04,75.3,
1989-05,75.4,
1989-06,75.3,
1989-07,75.4,
1989-08,75.5,
1989-09,75.5,
1989-10,75.9,
1989-11,75.8,
1989-12,75.8,
1990-01,75.9,
1990-02,75.9,
1990-03,76.0,
1990-04,76.5,
1990-05,76.6,
1990-06,76.6,
1990-07,76.5,
1990-08,76.8,
1990-09,77.2,
1990-10,77.5,
1990-11,77.3,
1990-12,77.0,
1991-01,77.7,
1991-02,77.7,
1991-03,77.6,
1991-04,78.2,
1991-05,78.3,
1991-06,78.4,
1991-07,78.9,
1991-08,78.8,
1991-09,79.1,
1991-10,79.1,
1991-11,79.1,
1991-12,78.9,
1992-01,78.9,
1992-02,79.2,
1992-03,79.4,
1992-04,79.7,
1992-05,79.8,
1992-06,79.9,
1992-07,79.8,
1992-08,79.7,
1992-09,79.7,
1992-10,79.6,
1992-11,79.6,
1992-12,79.4,
1993-01,79.7,
1993-02,79.6,
1993-03,79.6,
1993-04,79.7,
1993-05,79.7,
1993-06,79.6,
1993-07,79.7,
1993-08,79.6,
1993-09,79.5,
1993-10,79.4,
1993-11,79.4,
1993-12,79.3,
1994-01,79.7,
1994-02,79.7,
1994-03,79.8,
1994-04,79.8,
1994-05,79.9,
1994-06,79.9,
1994-07,79.9,
1994-08,80.1,
1994-09,80.0,
1994-10,80.1,
1994-11,80.5,
1994-12,80.6,
1995-01,81.0,
1995-02,81.2,
1995-03,81.3,
1995-04,81.5,
1995-05,81.5,
1995-06,81.5,
1995-07,81.4,
1995-08,81.5,
1995-09,81.6,
1995-10,81.5,
1995-11,81.4,
1995-12,81.4,
1996-01,80.3,
1996-02,80.3,
1996-03,80.2,
1996-04,80.3,
1996-05,80.3,
1996-06,80.2,
1996-07,80.2,
1996-08,80.2,
1996-09,80.4,
1996-10,80.7,
1996-11,80.7,
1996-12,80.7,
1997-01,80.9,
1997-02,80.9,
1997-03,80.8,
1997-04,81.1,
1997-05,81.3,
1997-06,81.3,
1997-07,81.5,
1997-08,81.7,
1997-09,81.8,
1997-10,81.7,
1997-11,81.7,
1997-12,81.6,
1998-01,81.5,
1998-02,81.5,
1998-03,81.4,
1998-04,81.4,
1998-05,81.4,
1998-06,81.3,
1998-07,81.1,
1998-08,81.0,
1998-09,80.9,
1998-10,80.5,
1998-11,80.1,
1998-12,80.0,
1999-01,79.6,
1999-02,79.5,
1999-03,79.5,
1999-04,80.0,
1999-05,80.0,
1999-06,80.1,
1999-07,80.3,
1999-08,80.4,
1999-09,80.5,
1999-10,80.7,
1999-11,80.7,
1999-12,80.9,
2000-01,81.2,
2000-02,81.2,
2000-03,81.3,
2000-04,81.7,
2000-05,82.0,
2000-06,82.3,
2000-07,82.8,
2000-08,83.0,
2000-09,83.7,
2000-10,84.0,
2000-11,84.3,
2000-12,84.0,
2001-01,84.7,
2001-02,84.9,
2001-03,85.1,
2001-04,85.6,
2001-05,85.8,
2001-06,85.9,
2001-07,85.4,
2001-08,85.3,
2001-09,85.4,
2001-10,84.6,
2001-11,84.3,
2001-12,84.1,
2002-01,84.5,
2002-02,84.5,
2002-03,84.9,
2002-04,84.7,
2002-05,84.7,
2002-06,84.7,
2002-07,84.5,
2002-08,84.4,
2002-09,84.5,
2002-10,84.7,
2002-11,84.5,
2002-12,84.6,
2003-01,85.8,
2003-02,86.1,
2003-03,86.2,
2003-04,86.1,
2003-05,85.9,
2003-06,85.9,
2003-07,86.0,
2003-08,86.0,
2003-09,86.1,
2003-10,86.1,
2003-11,86.1,
2003-12,86.1,
2004-01,85.9,
2004-02,86.0,
2004-03,86.5,
2004-04,86.9,
2004-05,87.2,
2004-06,87.1,
2004-07,87.7,
2004-08,88.0,
2004-09,88.0,
2004-10,88.9,
2004-11,88.5,
2004-12,88.6,
2005-01,89.3,
2005-02,89.6,
2005-03,90.1,
2005-04,90.6,
2005-05,90.6,
2005-06,91.0,
2005-07,91.6,
2005-08,91.8,
2005-09,92.1,
2005-10,92.7,
2005-11,92.6,
2005-12,92.9,
2006-01,94.2,
2006-02,94.8,
2006-03,95.3,
2006-04,96.1,
2006-05,96.3,
2006-06,96.3,
2006-07,96.9,
2006-08,97.2,
2006-09,96.8,
2006-10,96.8,
2006-11,96.7,
2006-12,96.8,
2007-01,96.8,
2007-02,96.8,
2007-03,96.8,
2007-04,96.9,
2007-05,97.3,
2007-06,97.4,
2007-07,97.4,
2007-08,97.4,
2007-09,97.4,
2007-10,98.0,
2007-11,98.7,
2007-12,98.6,
2008-01,99.4,
2008-02,99.9,
2008-03,100.5,
2008-04,101.5,
2008-05,102.4,
2008-06,103.4,
2008-07,105.4,
2008-08,104.8,
2008-09,105.1,
2008-10,105.1,
2008-11,103.4,
2008-12,102.6,
2009-01,101.4,
2009-02,100.8,
2009-03,100.1,
2009-04,98.7,
2009-05,98.7,
2009-06,98.6,
2009-07,97.2,
2009-08,97.6,
2009-09,97.2,
2009-10,97.2,
2009-11,97.3,
2009-12,97.2,
2010-01,97.9,
2010-02,97.8,
2010-03,98.3,
2010-04,99.2,
2010-05,99.7,
2010-06,100.3,
2010-07,100.7,
2010-08,100.6,
2010-09,100.9,
2010-10,101.2,
2010-11,101.4,
2010-12,102.0,
2011-01,103.1,
2011-02,103.8,
2011-03,104.4,
2011-04,105.3,
2011-05,105.3,
2011-06,105.4,
2011-07,106.0,
2011-08,105.8,
2011-09,106.0,
2011-10,106.2,
2011-11,106.1,
2011-12,105.6,
2012-01,106.1,
2012-02,106.5,
2012-03,107.1,
2012-04,107.3,
2012-05,107.0,
2012-06,106.6,
2012-07,106.6,
2012-08,107.0,
2012-09,107.3,
2012-10,107.4,
2012-11,107.4,
2012-12,107.1,
2013-01,107.7,
2013-02,107.5,
2013-03,107.2,
2013-04,107.1,
2013-05,106.8,
2013-06,106.7,
2013-07,106.6,
2013-08,106.5,
2013-09,106.8,
2013-10,106.6,
2013-11,106.5,
2013-12,106.6,
2014-01,106.5,
2014-02,106.5,
2014-03,106.2,
2014-04,106.1,
2014-05,105.9,
2014-06,105.9,
2014-07,105.8,
2014-08,105.7,
2014-09,105.7,
2014-10,105.5,
2014-11,105.5,
2014-12,104.8,
2015-01,104.2,
