"",BBK01.OEAF25N,BBK01.OEAF25N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:47,
2002-01,11.689,
2002-04,11.567,
2002-07,11.948,
2002-10,11.452,
2003-01,11.572,
2003-04,11.608,
2003-07,11.811,
2003-10,12.395,
2004-01,11.958,
2004-04,12.016,
2004-07,12.818,
2004-10,12.113,
2005-01,11.882,
2005-04,12.323,
2005-07,11.885,
2005-10,12.085,
2006-01,11.125,
2006-04,11.098,
2006-07,11.128,
2006-10,11.081,
2007-01,10.684,
2007-04,10.795,
2007-07,10.698,
2007-10,10.810,
2008-01,10.844,
2008-04,11.024,
2008-07,10.641,
2008-10,10.799,
2009-01,10.573,
2009-04,10.971,
2009-07,11.142,
2009-10,11.211,
2010-01,11.066,
2010-04,10.987,
2010-07,11.202,
2010-10,11.278,
2011-01,11.339,
2011-04,11.390,
2011-07,11.519,
2011-10,11.049,
2012-01,10.884,
2012-04,10.702,
2012-07,10.719,
2012-10,10.635,
2013-01,10.712,
2013-04,10.756,
2013-07,10.819,
2013-10,10.814,
2014-01,10.749,
2014-04,10.925,
2014-07,11.092,
