"",BBK01.OELB04P,BBK01.OELB04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:44,
2002-01,4.237,
2002-04,4.269,
2002-07,4.158,
2002-10,4.198,
2003-01,4.324,
2003-04,4.340,
2003-07,4.372,
2003-10,4.417,
2004-01,4.454,
2004-04,4.469,
2004-07,4.518,
2004-10,4.526,
2005-01,4.505,
2005-04,4.502,
2005-07,4.543,
2005-10,4.534,
2006-01,4.540,
2006-04,4.574,
2006-07,4.585,
2006-10,4.594,
2007-01,4.572,
2007-04,4.585,
2007-07,4.621,
2007-10,4.666,
2008-01,4.656,
2008-04,4.712,
2008-07,4.722,
2008-10,4.718,
2009-01,4.701,
2009-04,4.730,
2009-07,4.800,
2009-10,4.844,
2010-01,4.852,
2010-04,4.909,
2010-07,4.961,
2010-10,5.037,
2011-01,5.070,
2011-04,5.152,
2011-07,5.225,
2011-10,5.284,
2012-01,5.316,
2012-04,5.802,
2012-07,5.875,
2012-10,5.924,
2013-01,5.933,
2013-04,5.978,
2013-07,5.884,
2013-10,5.929,
2014-01,5.900,
2014-04,5.916,
2014-07,5.947,
