"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.GB.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.GB.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / United Kingdom,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:27,
2009-09,7575,
2009-10,7606,
2009-11,7640,
2009-12,8213,
2010-01,8273,
2010-02,8370,
2010-03,8847,
2010-04,8542,
2010-05,8030,
2010-06,8057,
2010-07,8317,
2010-08,8111,
2010-09,8388,
2010-10,8601,
2010-11,8859,
2010-12,9463,
2011-01,9362,
2011-02,9720,
2011-03,9309,
2011-04,9486,
2011-05,9470,
2011-06,8891,
2011-07,8987,
2011-08,7774,
2011-09,7457,
2011-10,8130,
2011-11,7887,
2011-12,8231,
2012-01,8647,
2012-02,8734,
2012-03,8534,
2012-04,8701,
2012-05,8135,
2012-06,8424,
2012-07,8864,
2012-08,8742,
2012-09,8796,
2012-10,8729,
2012-11,8508,
2012-12,8669,
2013-01,8927,
2013-02,9149,
2013-03,9544,
2013-04,9581,
2013-05,9602,
2013-06,9050,
2013-07,9482,
2013-08,9294,
2013-09,9697,
2013-10,10019,
2013-11,10173,
2013-12,10283,
2014-01,9964,
2014-02,10361,
2014-03,10025,
2014-04,10274,
2014-05,10612,
2014-06,10595,
2014-07,10614,
2014-08,10741,
2014-09,10630,
2014-10,10539,
2014-11,10866,
