"",BBK01.OEHB06P,BBK01.OEHB06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:34,
2002-01,1.243,
2002-04,1.293,
2002-07,1.206,
2002-10,1.123,
2003-01,1.173,
2003-04,1.294,
2003-07,1.113,
2003-10,1.048,
2004-01,1.069,
2004-04,1.031,
2004-07,0.999,
2004-10,1.007,
2005-01,0.989,
2005-04,1.022,
2005-07,1.093,
2005-10,1.051,
2006-01,1.125,
2006-04,1.194,
2006-07,0.993,
2006-10,1.073,
2007-01,0.989,
2007-04,0.975,
2007-07,1.006,
2007-10,0.948,
2008-01,1.006,
2008-04,1.095,
2008-07,1.024,
2008-10,1.013,
2009-01,1.052,
2009-04,1.082,
2009-07,1.071,
2009-10,1.211,
2010-01,1.279,
2010-04,1.273,
2010-07,1.135,
2010-10,1.145,
2011-01,1.216,
2011-04,1.266,
2011-07,1.166,
2011-10,1.098,
2012-01,1.240,
2012-04,1.116,
2012-07,1.055,
2012-10,1.014,
2013-01,1.074,
2013-04,1.159,
2013-07,1.322,
2013-10,1.217,
2014-01,1.262,
2014-04,1.297,
2014-07,1.277,
