"",BBK01.OEAD07M,BBK01.OEAD07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:09,
2002-01,1.033,
2002-04,1.111,
2002-07,1.115,
2002-10,1.009,
2003-01,0.951,
2003-04,0.959,
2003-07,0.933,
2003-10,0.894,
2004-01,0.891,
2004-04,0.852,
2004-07,0.862,
2004-10,0.783,
2005-01,0.792,
2005-04,0.763,
2005-07,0.761,
2005-10,0.708,
2006-01,0.748,
2006-04,0.767,
2006-07,0.763,
2006-10,0.779,
2007-01,1.046,
2007-04,0.929,
2007-07,0.849,
2007-10,0.825,
2008-01,0.857,
2008-04,0.834,
2008-07,0.793,
2008-10,0.708,
2009-01,0.791,
2009-04,0.799,
2009-07,0.791,
2009-10,0.745,
2010-01,0.831,
2010-04,0.830,
2010-07,0.806,
2010-10,0.719,
2011-01,0.779,
2011-04,0.785,
2011-07,0.814,
2011-10,0.751,
2012-01,0.790,
2012-04,0.783,
2012-07,0.758,
2012-10,0.717,
2013-01,0.701,
2013-04,0.693,
2013-07,0.750,
2013-10,0.672,
2014-01,0.706,
2014-04,0.724,
2014-07,0.728,
