"",BBSF2.M.1.S.00000.TOT01.I.F.INV.GB.00000.F05200.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.INV.GB.00000.F05200.Z01.00_FLAGS
"",Special investors funds / Funds total / Investment fund shares / United Kingdom,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:49,
2009-09,201,
2009-10,198,
2009-11,205,
2009-12,240,
2010-01,250,
2010-02,258,
2010-03,302,
2010-04,340,
2010-05,334,
2010-06,352,
2010-07,362,
2010-08,393,
2010-09,403,
2010-10,431,
2010-11,450,
2010-12,474,
2011-01,476,
2011-02,442,
2011-03,495,
2011-04,457,
2011-05,483,
2011-06,478,
2011-07,514,
2011-08,415,
2011-09,379,
2011-10,420,
2011-11,445,
2011-12,449,
2012-01,520,
2012-02,720,
2012-03,752,
2012-04,763,
2012-05,741,
2012-06,732,
2012-07,775,
2012-08,786,
2012-09,802,
2012-10,847,
2012-11,846,
2012-12,860,
2013-01,942,
2013-02,972,
2013-03,996,
2013-04,1033,
2013-05,1065,
2013-06,1072,
2013-07,1050,
2013-08,1095,
2013-09,1083,
2013-10,836,
2013-11,1067,
2013-12,1048,
2014-01,1019,
2014-02,1006,
2014-03,1005,
2014-04,1004,
2014-05,1020,
2014-06,1068,
2014-07,1076,
2014-08,1093,
2014-09,1099,
2014-10,1044,
2014-11,1161,
