"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.D.F5._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.D.F5._Z._T._X.N_FLAGS
"",Assets (Net Acquisition of) / Financial account / Equity and investment fund shares/units / Rest of the World / Total economy / Direct investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:27,
1991-01,3923.783,
1991-04,4321.238,
1991-07,4673.637,
1991-10,6792.028,
1992-01,2946.402,
1992-04,3207.295,
1992-07,4092.738,
1992-10,5180.792,
1993-01,3338.756,
1993-04,2582.801,
1993-07,3473.452,
1993-10,5495.490,
1994-01,3828.656,
1994-04,4294.013,
1994-07,2434.279,
1994-10,6155.170,
1995-01,7902.254,
1995-04,7779.304,
1995-07,3714.038,
1995-10,8432.869,
1996-01,6198.819,
1996-04,4606.592,
1996-07,6901.366,
1996-10,9213.349,
1997-01,7772.723,
1997-04,4881.598,
1997-07,8216.701,
1997-10,9370.210,
1998-01,7763.837,
1998-04,11626.452,
1998-07,8641.915,
1998-10,35434.243,
1999-01,7497.378,
1999-04,25907.786,
1999-07,13348.451,
1999-10,49282.640,
2000-01,18774.369,
2000-04,22761.479,
2000-07,26162.709,
2000-10,-2527.898,
2001-01,-1266.206,
2001-04,37137.575,
2001-07,17559.208,
2001-10,7371.153,
2002-01,2456.395,
2002-04,19734.514,
2002-07,17075.430,
2002-10,1709.450,
2003-01,9681.827,
2003-04,4803.994,
2003-07,2178.013,
2003-10,12358.052,
2004-01,-13916.699,
2004-04,6322.961,
2004-07,2406.534,
2004-10,7772.498,
2005-01,11262.807,
2005-04,12106.918,
2005-07,8379.549,
2005-10,16304.878,
2006-01,14857.826,
2006-04,15875.090,
2006-07,33015.503,
2006-10,35091.270,
2007-01,16683.975,
2007-04,23011.050,
2007-07,11598.372,
2007-10,27811.566,
2008-01,20403.500,
2008-04,12307.496,
2008-07,5589.270,
2008-10,-7193.608,
2009-01,22967.021,
2009-04,17318.467,
2009-07,18443.602,
2009-10,5940.310,
2010-01,25613.330,
2010-04,13688.918,
2010-07,13631.911,
2010-10,23287.108,
2011-01,18880.985,
2011-04,20224.374,
2011-07,16222.181,
2011-10,7885.475,
2012-01,24492.439,
2012-04,9206.732,
2012-07,21303.439,
2012-10,13212.581,
2013-01,17037.076,
2013-04,10975.873,
2013-07,10979.748,
2013-10,4071.929,
2014-01,19992.280,
2014-04,18711.149,
2014-07,12139.348,
