"",BBK01.OEHB15M,BBK01.OEHB15M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:01,
2002-01,0.777,
2002-04,0.765,
2002-07,0.753,
2002-10,0.745,
2003-01,0.758,
2003-04,0.753,
2003-07,0.760,
2003-10,0.742,
2004-01,0.725,
2004-04,0.719,
2004-07,0.714,
2004-10,0.702,
2005-01,0.676,
2005-04,0.670,
2005-07,0.658,
2005-10,0.650,
2006-01,0.645,
2006-04,0.635,
2006-07,0.622,
2006-10,0.609,
2007-01,0.596,
2007-04,0.592,
2007-07,0.589,
2007-10,0.581,
2008-01,0.574,
2008-04,0.568,
2008-07,0.559,
2008-10,0.548,
2009-01,0.541,
2009-04,0.508,
2009-07,0.495,
2009-10,0.494,
2010-01,0.496,
2010-04,0.495,
2010-07,0.503,
2010-10,0.498,
2011-01,0.496,
2011-04,0.505,
2011-07,0.503,
2011-10,0.510,
2012-01,0.523,
2012-04,0.532,
2012-07,0.545,
2012-10,0.563,
2013-01,0.562,
2013-04,0.577,
2013-07,0.583,
2013-10,0.589,
2014-01,0.607,
2014-04,0.620,
2014-07,0.609,
