"",BBK01.OEBB19I,BBK01.OEBB19I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:55,
2002-01,1.130,
2002-04,1.199,
2002-07,1.258,
2002-10,1.181,
2003-01,1.174,
2003-04,1.563,
2003-07,0.945,
2003-10,0.946,
2004-01,0.890,
2004-04,0.920,
2004-07,0.921,
2004-10,0.906,
2005-01,1.105,
2005-04,1.100,
2005-07,1.192,
2005-10,1.219,
2006-01,1.236,
2006-04,1.268,
2006-07,1.277,
2006-10,1.348,
2007-01,1.325,
2007-04,1.356,
2007-07,1.377,
2007-10,1.370,
2008-01,1.374,
2008-04,1.381,
2008-07,1.406,
2008-10,1.579,
2009-01,1.594,
2009-04,1.606,
2009-07,1.596,
2009-10,1.726,
2010-01,1.723,
2010-04,1.747,
2010-07,1.660,
2010-10,1.608,
2011-01,1.593,
2011-04,1.595,
2011-07,1.611,
2011-10,1.286,
2012-01,1.292,
2012-04,1.246,
2012-07,1.196,
2012-10,1.180,
2013-01,1.145,
2013-04,1.140,
2013-07,1.154,
2013-10,1.147,
2014-01,1.146,
2014-04,1.005,
2014-07,1.007,
