"",BBK01.OEAO04T,BBK01.OEAO04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:41,
2002-01,-0.063,
2002-04,-0.324,
2002-07,-0.014,
2002-10,0.061,
2003-01,0.025,
2003-04,-0.092,
2003-07,-0.005,
2003-10,0.088,
2004-01,-0.017,
2004-04,-0.100,
2004-07,-0.060,
2004-10,0.042,
2005-01,0.022,
2005-04,-0.088,
2005-07,-0.040,
2005-10,-0.009,
2006-01,0.002,
2006-04,-0.112,
2006-07,-0.122,
2006-10,-0.091,
2007-01,0.027,
2007-04,-0.093,
2007-07,-0.095,
2007-10,-0.021,
2008-01,-0.067,
2008-04,-0.142,
2008-07,-0.165,
2008-10,0.156,
2009-01,-0.026,
2009-04,-0.111,
2009-07,-0.026,
2009-10,0.048,
2010-01,-0.026,
2010-04,-0.072,
2010-07,-0.009,
2010-10,0.114,
2011-01,0.057,
2011-04,-0.093,
2011-07,-0.106,
2011-10,-0.029,
2012-01,0.064,
2012-04,-0.094,
2012-07,-0.017,
2012-10,0.046,
2013-01,0.005,
2013-04,-0.094,
2013-07,-0.035,
2013-10,-0.040,
2014-01,-0.043,
2014-04,-0.057,
2014-07,-0.019,
