"",BBK01.OELI06L,BBK01.OELI06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:59,
2002-01,3.048,
2002-04,3.008,
2002-07,2.982,
2002-10,2.893,
2003-01,2.765,
2003-04,2.667,
2003-07,2.536,
2003-10,2.464,
2004-01,2.358,
2004-04,2.284,
2004-07,2.262,
2004-10,2.218,
2005-01,2.103,
2005-04,2.049,
2005-07,1.955,
2005-10,1.909,
2006-01,1.956,
2006-04,2.010,
2006-07,2.107,
2006-10,2.194,
2007-01,2.381,
2007-04,2.528,
2007-07,2.754,
2007-10,3.087,
2008-01,3.227,
2008-04,3.297,
2008-07,3.401,
2008-10,3.484,
2009-01,2.997,
2009-04,2.661,
2009-07,2.371,
2009-10,1.980,
2010-01,1.731,
2010-04,1.636,
2010-07,1.594,
2010-10,1.581,
2011-01,1.556,
2011-04,1.618,
2011-07,1.587,
2011-10,1.609,
2012-01,1.721,
2012-04,1.697,
2012-07,1.665,
2012-10,1.621,
2013-01,1.579,
2013-04,1.515,
2013-07,1.452,
2013-10,1.440,
2014-01,1.366,
2014-04,1.394,
2014-07,1.387,
