"",BBK01.OEYI01O,BBK01.OEYI01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:36,
2002-01,13.253,
2002-04,13.578,
2002-07,13.858,
2002-10,14.429,
2003-01,15.011,
2003-04,15.989,
2003-07,16.559,
2003-10,17.702,
2004-01,18.555,
2004-04,19.097,
2004-07,19.126,
2004-10,19.545,
2005-01,21.076,
2005-04,21.061,
2005-07,21.988,
2005-10,21.738,
2006-01,22.760,
2006-04,23.322,
2006-07,24.541,
2006-10,24.592,
2007-01,23.910,
2007-04,24.595,
2007-07,24.145,
2007-10,25.171,
2008-01,26.635,
2008-04,25.551,
2008-07,20.030,
2008-10,19.420,
2009-01,20.462,
2009-04,20.411,
2009-07,21.198,
2009-10,22.443,
2010-01,22.779,
2010-04,23.091,
2010-07,23.069,
2010-10,23.189,
2011-01,22.534,
2011-04,22.972,
2011-07,22.629,
2011-10,23.336,
2012-01,22.735,
2012-04,22.348,
2012-07,22.568,
2012-10,23.691,
2013-01,22.716,
2013-04,22.058,
2013-07,21.611,
2013-10,22.020,
2014-01,21.229,
2014-04,20.980,
2014-07,21.023,
