"",BBFI1.Q.N.DE.W1.S1P.S1.LE.L.FA.P.F3.L._T.M.N,BBFI1.Q.N.DE.W1.S1P.S1.LE.L.FA.P.F3.L._T.M.N_FLAGS
"",IIP - Portfolio investment - Debt securities - Long-term original maturity (over 1 year) - Liabilities - Positions - resident issuer: Other sectors than MFIs and general government - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:08:31,
1999-10,7482,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,9825,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,18059,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,20304,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,23424,
2004-01,25658,
2004-04,26521,
2004-07,28270,
2004-10,27900,
2005-01,28847,
2005-04,30815,
2005-07,31069,
2005-10,30636,
2006-01,29668,
2006-04,28874,
2006-07,29514,
2006-10,28649,
2007-01,31105,
2007-04,32818,
2007-07,35366,
2007-10,35029,
2008-01,35098,
2008-04,33833,
2008-07,35420,
2008-10,37527,
2009-01,26379,
2009-04,15383,
2009-07,22414,
2009-10,21803,
2010-01,33361,
2010-04,42112,
2010-07,49820,
2010-10,51754,
2011-01,62303,
2011-04,62796,
2011-07,65847,
2011-10,51687,
2012-01,55294,
2012-04,50327,
2012-07,54942,
2012-10,55804,
2013-01,57496,
2013-04,46978,
2013-07,44923,
2013-10,45138,
2014-01,49347,
2014-04,55798,
2014-07,58184,
