"",BBK01.RJ2081,BBK01.RJ2081_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-04-30 10:23:46,
1989,.,No value available
1990,.,No value available
1991,.,No value available
1992,-,Nothing exists
1993,-,Nothing exists
1994,-,Nothing exists
1995,-,Nothing exists
1996,-,Nothing exists
1997,-,Nothing exists
1998,.,No value available
1999,-,Nothing exists
2000,.,No value available
2001,.,No value available
2002,.,No value available
2003,.,No value available
2004,.,No value available
2005,53,
2006,51,
2007,80,
2008,91,
2009,95,
2010,96,
2011,102,
2012,91,
