"",BBK01.OEYL08J,BBK01.OEYL08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:40,
2002-01,0.109,
2002-04,0.106,
2002-07,0.108,
2002-10,0.112,
2003-01,0.119,
2003-04,0.125,
2003-07,0.119,
2003-10,0.115,
2004-01,0.121,
2004-04,0.120,
2004-07,0.117,
2004-10,0.120,
2005-01,0.114,
2005-04,0.136,
2005-07,0.137,
2005-10,0.127,
2006-01,0.120,
2006-04,0.129,
2006-07,0.114,
2006-10,0.108,
2007-01,0.107,
2007-04,0.108,
2007-07,0.113,
2007-10,0.124,
2008-01,0.118,
2008-04,0.113,
2008-07,0.115,
2008-10,0.122,
2009-01,0.156,
2009-04,0.157,
2009-07,0.146,
2009-10,0.149,
2010-01,0.142,
2010-04,0.125,
2010-07,0.118,
2010-10,0.123,
2011-01,0.119,
2011-04,0.116,
2011-07,0.113,
2011-10,0.129,
2012-01,0.118,
2012-04,0.137,
2012-07,0.135,
2012-10,0.134,
2013-01,0.141,
2013-04,0.139,
2013-07,0.144,
2013-10,0.158,
2014-01,0.157,
2014-04,0.157,
2014-07,0.154,
