"",BBK01.OELB12M,BBK01.OELB12M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:10,
2002-01,2.108,
2002-04,2.156,
2002-07,2.201,
2002-10,2.280,
2003-01,2.286,
2003-04,2.323,
2003-07,2.379,
2003-10,2.443,
2004-01,2.446,
2004-04,2.484,
2004-07,2.538,
2004-10,2.563,
2005-01,2.576,
2005-04,2.647,
2005-07,2.639,
2005-10,2.683,
2006-01,2.749,
2006-04,2.821,
2006-07,2.901,
2006-10,2.954,
2007-01,2.982,
2007-04,3.072,
2007-07,3.169,
2007-10,3.264,
2008-01,3.310,
2008-04,3.399,
2008-07,3.567,
2008-10,3.657,
2009-01,3.715,
2009-04,3.841,
2009-07,3.935,
2009-10,4.135,
2010-01,4.228,
2010-04,4.296,
2010-07,4.525,
2010-10,4.851,
2011-01,4.966,
2011-04,5.177,
2011-07,5.035,
2011-10,4.644,
2012-01,4.759,
2012-04,5.003,
2012-07,5.164,
2012-10,5.288,
2013-01,5.362,
2013-04,5.462,
2013-07,5.570,
2013-10,5.707,
2014-01,5.846,
2014-04,5.979,
2014-07,6.193,
