"",BBK01.OEYB02O,BBK01.OEYB02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:38,
2002-01,3.101,
2002-04,2.724,
2002-07,2.882,
2002-10,2.882,
2003-01,5.360,
2003-04,2.618,
2003-07,2.415,
2003-10,2.716,
2004-01,2.530,
2004-04,2.474,
2004-07,2.036,
2004-10,2.449,
2005-01,2.222,
2005-04,2.339,
2005-07,2.208,
2005-10,2.138,
2006-01,3.086,
2006-04,2.700,
2006-07,2.875,
2006-10,2.481,
2007-01,2.523,
2007-04,2.655,
2007-07,3.791,
2007-10,3.128,
2008-01,3.574,
2008-04,3.294,
2008-07,2.421,
2008-10,2.859,
2009-01,2.135,
2009-04,1.963,
2009-07,1.592,
2009-10,2.370,
2010-01,1.869,
2010-04,2.188,
2010-07,2.522,
2010-10,2.448,
2011-01,2.125,
2011-04,1.913,
2011-07,1.760,
2011-10,1.572,
2012-01,1.629,
2012-04,1.743,
2012-07,1.672,
2012-10,1.946,
2013-01,1.621,
2013-04,1.471,
2013-07,2.432,
2013-10,2.159,
2014-01,2.247,
2014-04,2.328,
2014-07,2.009,
