"",BBK01.OECK04L,BBK01.OECK04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:58,
2002-01,0.713,
2002-04,0.632,
2002-07,0.661,
2002-10,0.771,
2003-01,0.676,
2003-04,0.581,
2003-07,0.580,
2003-10,0.495,
2004-01,0.517,
2004-04,0.427,
2004-07,0.455,
2004-10,0.583,
2005-01,0.547,
2005-04,0.594,
2005-07,0.696,
2005-10,0.571,
2006-01,0.491,
2006-04,0.496,
2006-07,0.712,
2006-10,0.815,
2007-01,0.661,
2007-04,0.730,
2007-07,0.721,
2007-10,0.968,
2008-01,0.869,
2008-04,0.898,
2008-07,1.034,
2008-10,1.180,
2009-01,1.207,
2009-04,0.854,
2009-07,1.610,
2009-10,1.224,
2010-01,0.441,
2010-04,1.724,
2010-07,2.099,
2010-10,1.128,
2011-01,1.993,
2011-04,2.169,
2011-07,0.615,
2011-10,0.477,
2012-01,0.446,
2012-04,0.350,
2012-07,0.342,
2012-10,0.231,
2013-01,0.211,
2013-04,0.158,
2013-07,0.170,
2013-10,0.232,
2014-01,0.234,
2014-04,0.242,
2014-07,0.342,
