"",BBK01.OEAE32I,BBK01.OEAE32I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:30,
2002-01,0.655,
2002-04,0.625,
2002-07,0.616,
2002-10,0.594,
2003-01,0.574,
2003-04,0.564,
2003-07,0.552,
2003-10,0.493,
2004-01,0.491,
2004-04,0.503,
2004-07,0.513,
2004-10,0.472,
2005-01,0.454,
2005-04,0.446,
2005-07,0.387,
2005-10,0.380,
2006-01,0.394,
2006-04,0.369,
2006-07,0.372,
2006-10,0.378,
2007-01,0.384,
2007-04,0.344,
2007-07,0.337,
2007-10,0.327,
2008-01,0.330,
2008-04,0.352,
2008-07,0.365,
2008-10,0.363,
2009-01,0.401,
2009-04,0.407,
2009-07,0.398,
2009-10,0.388,
2010-01,0.436,
2010-04,0.385,
2010-07,0.380,
2010-10,0.380,
2011-01,0.385,
2011-04,0.376,
2011-07,0.385,
2011-10,0.368,
2012-01,0.367,
2012-04,0.363,
2012-07,0.363,
2012-10,0.360,
2013-01,0.321,
2013-04,0.327,
2013-07,0.356,
2013-10,0.358,
2014-01,0.395,
2014-04,0.407,
2014-07,0.401,
