"",BBK01.OELK04N,BBK01.OELK04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:32,
2002-01,2.202,
2002-04,2.173,
2002-07,2.186,
2002-10,2.170,
2003-01,2.157,
2003-04,2.091,
2003-07,2.035,
2003-10,1.996,
2004-01,1.986,
2004-04,1.889,
2004-07,1.862,
2004-10,1.863,
2005-01,1.873,
2005-04,1.861,
2005-07,1.862,
2005-10,1.886,
2006-01,1.875,
2006-04,1.924,
2006-07,1.983,
2006-10,1.986,
2007-01,2.000,
2007-04,2.030,
2007-07,2.091,
2007-10,2.182,
2008-01,2.236,
2008-04,2.314,
2008-07,2.437,
2008-10,2.768,
2009-01,2.493,
2009-04,2.243,
2009-07,1.993,
2009-10,1.793,
2010-01,1.677,
2010-04,1.588,
2010-07,1.530,
2010-10,1.542,
2011-01,1.553,
2011-04,1.614,
2011-07,1.675,
2011-10,1.793,
2012-01,1.691,
2012-04,1.601,
2012-07,1.500,
2012-10,1.385,
2013-01,1.284,
2013-04,1.247,
2013-07,1.189,
2013-10,1.196,
2014-01,1.184,
2014-04,1.138,
2014-07,1.110,
