"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.DE.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.DE.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Germany / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:51,
2009-09,59944,
2009-10,58137,
2009-11,57668,
2009-12,57561,
2010-01,56518,
2010-02,55931,
2010-03,54969,
2010-04,53981,
2010-05,54058,
2010-06,53867,
2010-07,53197,
2010-08,53464,
2010-09,52287,
2010-10,51747,
2010-11,50645,
2010-12,50490,
2011-01,50096,
2011-02,50215,
2011-03,50570,
2011-04,49988,
2011-05,49940,
2011-06,49782,
2011-07,49912,
2011-08,50436,
2011-09,50240,
2011-10,50019,
2011-11,50236,
2011-12,51136,
2012-01,50186,
2012-02,50397,
2012-03,50003,
2012-04,50368,
2012-05,50357,
2012-06,50080,
2012-07,50700,
2012-08,50630,
2012-09,50517,
2012-10,49463,
2012-11,48171,
2012-12,47103,
2013-01,45142,
2013-02,45055,
2013-03,44548,
2013-04,44726,
2013-05,43965,
2013-06,43653,
2013-07,43859,
2013-08,43572,
2013-09,43116,
2013-10,42464,
2013-11,41649,
2013-12,40972,
2014-01,40895,
2014-02,40448,
2014-03,40177,
2014-04,39271,
2014-05,39047,
2014-06,39215,
2014-07,39381,
2014-08,39518,
2014-09,39987,
2014-10,41408,
2014-11,41174,
