"",BBK01.OEBB21U,BBK01.OEBB21U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:08,
2002-01,1.282,
2002-04,1.336,
2002-07,1.361,
2002-10,1.441,
2003-01,1.444,
2003-04,1.461,
2003-07,1.515,
2003-10,1.588,
2004-01,1.565,
2004-04,1.553,
2004-07,1.584,
2004-10,1.570,
2005-01,1.738,
2005-04,1.699,
2005-07,1.681,
2005-10,1.725,
2006-01,1.740,
2006-04,1.685,
2006-07,1.669,
2006-10,1.642,
2007-01,1.613,
2007-04,1.595,
2007-07,1.568,
2007-10,1.516,
2008-01,1.468,
2008-04,1.435,
2008-07,1.419,
2008-10,1.374,
2009-01,1.340,
2009-04,1.285,
2009-07,1.276,
2009-10,1.156,
2010-01,1.117,
2010-04,1.081,
2010-07,1.094,
2010-10,1.081,
2011-01,1.017,
2011-04,1.006,
2011-07,0.985,
2011-10,0.945,
2012-01,0.922,
2012-04,0.883,
2012-07,0.864,
2012-10,0.828,
2013-01,1.128,
2013-04,1.115,
2013-07,1.172,
2013-10,1.167,
2014-01,1.164,
2014-04,1.161,
2014-07,1.164,
