"",BBK01.OEXL04V,BBK01.OEXL04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:11,
2002-01,0.254,
2002-04,0.236,
2002-07,0.227,
2002-10,0.235,
2003-01,0.220,
2003-04,0.191,
2003-07,0.175,
2003-10,0.169,
2004-01,0.164,
2004-04,0.123,
2004-07,0.111,
2004-10,0.063,
2005-01,0.056,
2005-04,0.046,
2005-07,0.041,
2005-10,0.042,
2006-01,0.054,
2006-04,0.045,
2006-07,0.063,
2006-10,0.149,
2007-01,0.149,
2007-04,0.137,
2007-07,0.127,
2007-10,0.124,
2008-01,0.136,
2008-04,0.139,
2008-07,0.142,
2008-10,0.200,
2009-01,0.165,
2009-04,0.134,
2009-07,0.098,
2009-10,0.081,
2010-01,0.127,
2010-04,0.149,
2010-07,0.105,
2010-10,0.090,
2011-01,0.088,
2011-04,0.088,
2011-07,0.103,
2011-10,0.118,
2012-01,0.124,
2012-04,0.131,
2012-07,0.111,
2012-10,0.129,
2013-01,0.132,
2013-04,0.127,
2013-07,0.116,
2013-10,0.112,
2014-01,0.110,
2014-04,0.107,
2014-07,0.105,
