"",BBK01.OEAD39V,BBK01.OEAD39V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:11,
2002-01,0.164,
2002-04,0.172,
2002-07,0.172,
2002-10,0.169,
2003-01,0.167,
2003-04,0.151,
2003-07,0.144,
2003-10,0.147,
2004-01,0.145,
2004-04,0.139,
2004-07,0.132,
2004-10,0.122,
2005-01,0.118,
2005-04,0.110,
2005-07,0.105,
2005-10,0.105,
2006-01,0.099,
2006-04,0.097,
2006-07,0.082,
2006-10,0.078,
2007-01,0.075,
2007-04,0.078,
2007-07,0.074,
2007-10,0.072,
2008-01,0.072,
2008-04,0.060,
2008-07,0.062,
2008-10,0.060,
2009-01,0.059,
2009-04,0.067,
2009-07,0.064,
2009-10,0.061,
2010-01,0.068,
2010-04,0.068,
2010-07,0.064,
2010-10,0.069,
2011-01,0.073,
2011-04,0.073,
2011-07,0.068,
2011-10,0.069,
2012-01,0.068,
2012-04,0.067,
2012-07,0.065,
2012-10,0.067,
2013-01,0.065,
2013-04,0.066,
2013-07,0.065,
2013-10,0.067,
2014-01,0.066,
2014-04,0.068,
2014-07,0.068,
