"",BBK01.OEAF09M,BBK01.OEAF09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:28,
2002-01,0.171,
2002-04,0.164,
2002-07,0.168,
2002-10,0.170,
2003-01,0.179,
2003-04,0.183,
2003-07,0.194,
2003-10,0.210,
2004-01,0.199,
2004-04,0.182,
2004-07,0.180,
2004-10,0.170,
2005-01,0.168,
2005-04,0.170,
2005-07,0.176,
2005-10,0.172,
2006-01,0.168,
2006-04,0.172,
2006-07,0.167,
2006-10,0.164,
2007-01,0.136,
2007-04,0.132,
2007-07,0.134,
2007-10,0.128,
2008-01,0.123,
2008-04,0.129,
2008-07,0.127,
2008-10,0.127,
2009-01,0.125,
2009-04,0.121,
2009-07,0.128,
2009-10,0.129,
2010-01,0.134,
2010-04,0.138,
2010-07,0.142,
2010-10,0.137,
2011-01,0.139,
2011-04,0.137,
2011-07,0.137,
2011-10,0.140,
2012-01,0.140,
2012-04,0.143,
2012-07,0.146,
2012-10,0.148,
2013-01,0.147,
2013-04,0.150,
2013-07,0.146,
2013-10,0.138,
2014-01,0.135,
2014-04,0.132,
2014-07,0.130,
