"",BBFI1.Q.N.DE.W1.S122.S1.LE.L.FA.P.F3.S._T.M.N,BBFI1.Q.N.DE.W1.S122.S1.LE.L.FA.P.F3.S._T.M.N_FLAGS
"","IIP - Portfolio investment - Debt securities - Short-term original maturity (up to 1 year incl. incl.) - Liabilities - Positions - resident issuer: Deposit taking corporations, except the Central Bank - all countries",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:42,
1999-10,54842,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,52816,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,34033,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,55976,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,61356,
2004-01,55017,
2004-04,55165,
2004-07,53314,
2004-10,48794,
2005-01,51907,
2005-04,51095,
2005-07,51738,
2005-10,45403,
2006-01,49792,
2006-04,47536,
2006-07,45871,
2006-10,43842,
2007-01,51438,
2007-04,53457,
2007-07,62154,
2007-10,73028,
2008-01,81994,
2008-04,79242,
2008-07,76940,
2008-10,74591,
2009-01,78205,
2009-04,76617,
2009-07,82543,
2009-10,83008,
2010-01,87233,
2010-04,81082,
2010-07,86465,
2010-10,88926,
2011-01,85329,
2011-04,74475,
2011-07,84540,
2011-10,84932,
2012-01,82550,
2012-04,80713,
2012-07,75930,
2012-10,73058,
2013-01,85520,
2013-04,88129,
2013-07,93539,
2013-10,73892,
2014-01,83566,
2014-04,88282,
2014-07,97064,
