"",BBSF2.M.1.P.00000.TOT01.I.F.INV.DE.00000.F05200.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.INV.DE.00000.F05200.Z01.00_FLAGS
"",Public funds / Funds total / Investment fund shares / Germany,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:32,
2009-09,17775,
2009-10,17936,
2009-11,17980,
2009-12,17997,
2010-01,18109,
2010-02,18339,
2010-03,18862,
2010-04,18810,
2010-05,18528,
2010-06,18244,
2010-07,18121,
2010-08,18113,
2010-09,17836,
2010-10,17949,
2010-11,17612,
2010-12,17415,
2011-01,17047,
2011-02,16972,
2011-03,16111,
2011-04,15950,
2011-05,16077,
2011-06,15866,
2011-07,15744,
2011-08,15114,
2011-09,14505,
2011-10,14602,
2011-11,14364,
2011-12,14458,
2012-01,14416,
2012-02,14256,
2012-03,14409,
2012-04,14290,
2012-05,13789,
2012-06,13461,
2012-07,13321,
2012-08,13404,
2012-09,13383,
2012-10,13523,
2012-11,13237,
2012-12,13127,
2013-01,13400,
2013-02,13762,
2013-03,13958,
2013-04,14107,
2013-05,14000,
2013-06,14816,
2013-07,14699,
2013-08,14660,
2013-09,14824,
2013-10,15136,
2013-11,15112,
2013-12,15021,
2014-01,14689,
2014-02,15268,
2014-03,14954,
2014-04,14634,
2014-05,15054,
2014-06,14732,
2014-07,14832,
2014-08,14683,
2014-09,14607,
2014-10,14451,
2014-11,14797,
