"",BBK01.OEAF08M,BBK01.OEAF08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:28,
2002-01,0.732,
2002-04,0.731,
2002-07,0.727,
2002-10,0.719,
2003-01,0.731,
2003-04,0.761,
2003-07,0.763,
2003-10,0.786,
2004-01,0.780,
2004-04,0.770,
2004-07,0.773,
2004-10,0.798,
2005-01,0.790,
2005-04,0.807,
2005-07,0.873,
2005-10,0.901,
2006-01,0.875,
2006-04,0.869,
2006-07,0.881,
2006-10,0.936,
2007-01,0.908,
2007-04,0.906,
2007-07,0.907,
2007-10,0.880,
2008-01,0.861,
2008-04,0.882,
2008-07,0.903,
2008-10,0.903,
2009-01,0.908,
2009-04,0.889,
2009-07,0.851,
2009-10,0.848,
2010-01,0.854,
2010-04,0.789,
2010-07,0.804,
2010-10,0.808,
2011-01,0.817,
2011-04,0.804,
2011-07,0.796,
2011-10,0.818,
2012-01,0.799,
2012-04,0.784,
2012-07,0.786,
2012-10,0.780,
2013-01,0.759,
2013-04,0.781,
2013-07,0.760,
2013-10,0.745,
2014-01,0.750,
2014-04,0.748,
2014-07,0.746,
