"",BBK01.OECB24J,BBK01.OECB24J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:17,
2002-01,0.016,
2002-04,0.015,
2002-07,0.015,
2002-10,0.015,
2003-01,0.014,
2003-04,0.014,
2003-07,0.014,
2003-10,0.015,
2004-01,0.018,
2004-04,0.017,
2004-07,0.016,
2004-10,0.013,
2005-01,0.607,
2005-04,0.606,
2005-07,0.555,
2005-10,0.554,
2006-01,0.556,
2006-04,0.529,
2006-07,0.431,
2006-10,0.302,
2007-01,0.173,
2007-04,0.167,
2007-07,0.167,
2007-10,0.030,
2008-01,0.027,
2008-04,0.031,
2008-07,0.031,
2008-10,0.033,
2009-01,0.033,
2009-04,0.041,
2009-07,0.041,
2009-10,0.034,
2010-01,0.034,
2010-04,0.033,
2010-07,0.033,
2010-10,0.033,
2011-01,0.032,
2011-04,0.031,
2011-07,0.033,
2011-10,0.033,
2012-01,0.032,
2012-04,0.705,
2012-07,0.720,
2012-10,0.185,
2013-01,0.185,
2013-04,0.185,
2013-07,0.184,
2013-10,0.183,
2014-01,0.160,
2014-04,0.160,
2014-07,0.152,
